date,displayed_time,recipient,prospect,country,subject,channel,status,evidence,next_follow_up_date
2026-07-12,4:04-4:22 PM,info@aleb.org.ls,Association of Lesotho Employers and Business,Lesotho,Member resource idea for your HR support service,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,https://www.ipmeswatini.com/index.php/contact-us/,Institute of People Management Eswatini,Eswatini,Practical companion to the IPM compliance handbook,Website contact form,submitted,Contact form returned Thanks for contacting us acknowledgement,2026-07-16
2026-07-12,4:04-4:22 PM,contact@human-talent-consulting.com,Human Talent Consulting Madagascar,Madagascar,Ressource pratique pour vos publications RH,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,catarinaosorio@alcadvogados.com,ALC Advogados,Angola,Planning companion to your Angola employment guide,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,gimina.langa@salc.dlapiperafrica.com,SAL & Caldeira Advogados,Mozambique,Public leave-planning resource for Mozambique employers,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,info@kmksolicitorssl.com,KMK Solicitors,Sierra Leone,Practical resource for your labour and employment insights,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,chabane@nait-abdesselam.com,Cabinet Nait-Abdesselam,Algeria,Ressource publique pour vos contenus en droit du travail,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,info@dobusiness.co.bw,Do Business Botswana,Botswana,Interactive follow-up for your Botswana HR FAQ,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,contact@mauritius-life.com,Mauritius Life,Mauritius,Interactive companion for your Mauritius employment guide,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,office@labourdynamics.com,Labour Dynamics,Namibia,Public leave resource for Namibian employers,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,info@staffona.com,Staffona,Egypt,Leave calculator for your Egypt hiring guide,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,hello@anoorehr.com,AnooreHR,Egypt,Public companion for your Egypt payroll guide,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,afa@afa.ci,A.F.A. Cabinet d'Avocats,Cote d'Ivoire,Ressource pratique pour votre page droit du travail,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,contact@isOnehr.com,IsOne HR,Tunisia,Widget public complementaire pour la gestion des conges,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,contact@nenenglawoffice.com,Neneng Law Office,Cameroon,Interactive companion for your Cameroon employment-law guide,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,https://energybee.co.za/contact,EnergyBee,South Africa,Content suggestion for your South Africa solar ROI worksheet,Website contact form,submitted,Contact form returned Message sent acknowledgement,2026-07-16
2026-07-12,4:04-4:22 PM,contact@zambianface.com,Zambianface,Zambia,Interactive tool for Activity 2 in your Zambia labour guide,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,info@fbattorneys.co.tz,FB Attorneys,Tanzania,Calculator companion to your annual-leave Q&A,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,https://etcareers.com/contact/,ETcareers,Ethiopia,Interactive follow-up for your Ethiopian labour-law guide,Website contact form,submitted,Contact form returned Message sent and cleared the fields,2026-07-16
2026-07-12,4:04-4:22 PM,https://hulunem.com/support/,Hulunem,Ethiopia,AfroTools listing and labour-guide resource suggestion,Website contact form,submitted,Support form returned Thanks for your email acknowledgement,2026-07-16
2026-07-12,4:04-4:22 PM,office@wageindicator.org,WageIndicator Foundation,Africa,A practical calculator for African annual-leave pages,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:04-4:22 PM,https://registercompany.co.zw/contact,RegisterCompany.co.zw,Zimbabwe,Practical calculator for your Zimbabwe leave guide,Website contact form,submission attempted - no acknowledgement,Submit clicked once with completed form; no acknowledgement or field reset observed; do not resend without checking,2026-07-14
2026-07-12,4:04-4:22 PM,contact@upsilon-consulting.com,Upsilon Consulting,Morocco,Calculateur pratique pour votre guide sur les conges au Maroc,Hostinger Mail,sent,"Recipient, subject and body verified; composer cleared after Send",2026-07-16
2026-07-12,4:10 PM,info@aleb.org.ls,Association of Lesotho Employers and Business,Lesotho,Member resource idea for your HR support service,Hostinger bounce,bounced,"550 No such user; info@aleb.org.ls not found",
2026-07-12,4:14 PM,hello@anoorehr.com,AnooreHR,Egypt,Public companion for your Egypt payroll guide,Hostinger bounce,bounced,"550 5.1.1 recipient address rejected; user does not exist",
2026-07-12,4:18 PM,info@staffona.com,Staffona,Egypt,Re: Leave calculator for your Egypt hiring guide,Hostinger reply,declined,"Staffona said it already operates localized HRIS-HCM leave, payroll and attendance tools and is not interested in external tools",
2026-07-12,4:21 PM,admin@energybee.co.za,EnergyBee,South Africa,Re: Contact form - Press / partnerships - AfroTools Team,Hostinger reply,declined,"EnergyBee said it wants visitors to use its own interactive calculators rather than an external source",
2026-07-12,5:05 PM,contactus@johnhillconsult.com,John Hill Consult,Ghana,Interactive leave tool for your Ghana employee guide,Hostinger Mail,sent - duplicate resend,"Verified as Sent item 53; original 8:56 AM send already existed, so this resend is not counted as new outreach",2026-07-16
2026-07-12,5:05 PM,thelabournews@gmail.com,The Labour News,Ghana,A practical calculator for your Ghana leave section,Hostinger Mail,sent - duplicate resend,"Verified as Sent item 54; original 8:55 AM send already existed, so this resend is not counted as new outreach",2026-07-16
2026-07-12,5:05 PM,info@wka.co.ke,WKA Advocates / WakiliHub,Kenya,Leave calculator for your Kenya guide,Hostinger Mail,sent,Verified as Hostinger Sent item 55,2026-07-16
2026-07-12,5:05 PM,info@bossorec.com,Bossorec Solutions,Kenya,Calculator for your Kenya leave-management article,Hostinger Mail,sent,Verified as Hostinger Sent item 56,2026-07-16
2026-07-12,5:05 PM,info@amgadvocates.com,Muhoro & Gitonga Associates,Kenya,Interactive leave calculator for your Kenya guide,Hostinger Mail,sent,Verified as Hostinger Sent item 57,2026-07-16
2026-07-12,5:05 PM,admin@agricbusiness.com.ng,AgricBusiness,Nigeria,Interactive ROI tool for your poultry budget guide,Hostinger Mail,sent - duplicate resend,"Verified as Sent item 58; original 8:57 AM send already existed, so this resend is not counted as new outreach",2026-07-16
2026-07-12,5:05 PM,immax2005@gmail.com,NaijaOnlineBiz,Nigeria,A practical calculator for your Nigerian poultry guide,Hostinger Mail,sent - duplicate resend,"Verified as Sent item 59; original 8:56 AM send already existed, so this resend is not counted as new outreach",2026-07-16
2026-07-12,5:05 PM,info@themarketsonlineng.com,TheMarketsOnlineNG,Nigeria,Interactive ROI follow-up to your poultry cost table,Hostinger Mail,sent - duplicate resend,"Verified as Sent item 60; original 8:56 AM send already existed, so this resend is not counted as new outreach",2026-07-16
2026-07-12,5:05 PM,support@smartsmssolutions.com,SmartSMSSolutions,Nigeria,A practical calculator for your Nigeria leave guide,Hostinger Mail,sent,Verified as Hostinger Sent item 61,2026-07-16
2026-07-12,5:05 PM,https://bridgetalentgroup.com/contact/,Bridge Talent Management,Kenya,A practical widget for your Kenya labour-law guide,web form,submission attempted - no acknowledgement,"Submitted once; fields remained populated and the page exposed no success response, so it was not retried",
2026-07-12,5:05 PM,https://www.linkedin.com/company/111655625/,Africarrieres,Nigeria,Nigeria guide widget,LinkedIn,sent,"Company-page message composer closed after Send message; one Nigeria leave-widget pilot proposed",2026-07-16
2026-07-12,5:05 PM,https://ekosolicitors.com/contact-2/,Eko Solicitors and Advocates,Nigeria,Interactive leave calculator,browser review,paused - compromised site,"No message sent; live contact page exposes injected gambling links and is not a safe brand placement",
2026-07-12,5:05 PM,https://lucehr.com/blog/ghana-labour-law-leave-entitlements,LuceHR,Ghana,A complementary free resource for your Ghana leave guide,browser review,paused - no valid contact route,"No message sent; live page exposes no legitimate editorial email or form and the sales flow was not misused",
2026-07-12,5:57 PM,forestbeyond0@gmail.com,BeyondForest,Kenya,Interactive calculator for your Kenya maize cost-vs-profit section,Hostinger Mail,sent,"API returned HTTP 204; verified one matching message in INBOX.Sent",2026-07-16
2026-07-12,5:57 PM,info@farmerstrend.co.ke,Farmers Trend Ltd.,Kenya,Practical calculator for your 2026 maize profit guide,Hostinger Mail,sent,"API returned HTTP 204; verified one matching message in INBOX.Sent",2026-07-16
2026-07-12,5:57 PM,info@sence-agric.com,Agriculture Nigeria / SENCE Agric,Nigeria,Nigeria cassava processing calculator for your profitability section,Hostinger Mail,sent,"API returned HTTP 204; verified one matching message in INBOX.Sent",2026-07-16
2026-07-12,5:57 PM,thehighstreetbusiness@gmail.com,The High Street Business,Ghana,Interactive companion to your Ghana poultry break-even analysis,Hostinger Mail,sent,"API returned HTTP 204; verified one matching message in INBOX.Sent",2026-07-16
2026-07-12,5:57 PM,info@farmertribe.com,FarmerTribe,Ghana,Update-friendly calculator for your Ghana maize ROI example,Hostinger Mail,sent,"API returned HTTP 204; verified one matching message in INBOX.Sent",2026-07-16
2026-07-12,6:03 PM,tickets@smartsmssolutions.p.tawkto.email,SmartSMSSolutions,Nigeria,[#70624] A practical calculator for your Nigeria leave guide,Hostinger Mail,automated acknowledgement - under review,"Ticket 70624 confirms receipt and says the team is reviewing the message; no placement or acceptance claimed",2026-07-16
2026-07-12,6:28 PM,info@schoolsinkenya.co.ke,SchoolsInKenya.co.ke,Kenya,Interactive budget companion for your 2026 school-fees guide,Hostinger Mail,sent,"Exact recipient and subject verified in INBOX.Sent",2026-07-16
2026-07-12,6:28 PM,publish@afterschoolafrica.com,AfterSchoolAfrica,Nigeria / pan-African,Calculator companion for your 2026 hidden-cost guide,Hostinger Mail,sent,"Exact recipient and subject verified in INBOX.Sent",2026-07-16
2026-07-12,6:28 PM,hello@studyabroad.co.za,StudyAbroad ZA,South Africa,Interactive planning layer for your South African cost guide,Hostinger Mail,sent,"Exact recipient and subject verified in INBOX.Sent",2026-07-16
2026-07-12,6:28 PM,admin@applyscholars.com,ApplyScholars,Africa,Interactive follow-up for your 2026 study-abroad checklist,Hostinger Mail,sent,"Exact recipient and subject verified in INBOX.Sent",2026-07-16
2026-07-12,6:28 PM,info@opportunityforafrica.org,Opportunity For Africa,pan-African,Cost-comparison companion for your master's destination guide,Hostinger Mail,sent,"Exact recipient and subject verified in INBOX.Sent",2026-07-16
2026-07-12,6:28 PM,contact@togofirst.com,Togo First,Togo,Un calculateur pour prolonger votre article sur l'usine de manioc,Hostinger Mail,sent,"Exact recipient and subject verified in INBOX.Sent",2026-07-16
2026-07-12,6:28 PM,selma.lomax@frontpageafricaonline.com,FrontPageAfrica,Liberia,Liberia seed-rate tool for your rice planting-density story,Hostinger Mail,sent,"Exact recipient and subject verified in INBOX.Sent",2026-07-16
2026-07-12,6:35 PM,https://burundi-eco.com/contact/,Burundi Eco,Burundi,Outil de simulation pour votre bilan agricole du FIDA,official contact form,submitted,"Page returned Votre message a été envoyé avec succès.",2026-07-16
2026-07-12,6:33 PM,redaction@lanationbenin.info,La Nation Benin,Benin,Calculateur pour votre analyse du marché de la farine de manioc,Hostinger Mail,delivery delayed - retrying,"Two approved queue attempts generated delayed notices; recipient server returned 451 4.3.0 Temporary lookup failure and Hostinger is still trying",2026-07-16
2026-07-12,6:40 PM,sales@actualite.cd,ACTUALITE.CD,DR Congo,Outil pratique pour votre article sur la chaîne de valeur du manioc,Hostinger Mail,outbound accepted - Sent pending,"Official contact form is broken; public footer fallback used; monitored Hostinger request returned HTTP 201 but no Sent item was visible at closeout",2026-07-16
