company,segment,country,contact_name,contact_email_or_linkedin,offer_fit,priority,source,first_touch_date,last_touch_date,next_follow_up_date,status,deal_value_estimate,related_route,notes
SmartSMSSolutions,business communications publisher,Nigeria,,support@smartsmssolutions.com,widget,high,https://smartsmssolutions.com/resources/blog/ng/ng05-s07-leave-entitlement-rules-nigeria-employers-2026,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/widgets/,"Published support email used for personalized widget outreach; delivery verified in Hostinger Sent; automated ticket 70624 confirms receipt and says the team is reviewing it, but this is not an acceptance"
Africarrieres,African careers publisher,Nigeria,,https://www.linkedin.com/company/111655625/,widget,high,https://africarrieres.com/nigeria/en/guide/droit-du-travail/working-hours-leave,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/widgets/,"Reviewed Nigeria leave-widget pilot message sent through the company's LinkedIn message form"
Eko Solicitors and Advocates,legal publisher,Nigeria,,https://ekosolicitors.com/contact-2/,widget,high,https://ekosolicitors.com/leave-and-pay-entitlements-under-nigerian-labour-law-ultimate-things-you-need-to-know/,2026-07-12,2026-07-12,,paused - compromised site,0,https://afrotools.com/widgets/,"Outreach withheld because the live contact page exposes injected gambling links; not a safe AfroTools brand placement"
DLA Piper Africa / Olajide Oyewole,legal publisher,Nigeria,,https://www.dlapiperafrica.com/en/nigeria/people/team/olufunmilola-binuyo.html,widget,medium,https://www.dlapiperafrica.com/en/nigeria/insights/2024/frequently-asked-questions-employee-leave-in-nigeria.html,,,,not contacted,0,https://afrotools.com/widgets/,"Authoritative Nigeria leave FAQ could use a planning-only leave widget; high-value domain but lower response probability, so contact the named author rather than a generic blast"
AgricBusiness,agribusiness publisher,Nigeria,,admin@agricbusiness.com.ng,widget,high,https://agricbusiness.com.ng/how-to-start-a-poultry-farm-on-a-small-budget/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/agriculture/poultry-roi/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; detailed poultry startup guide covers capital, operating costs, and ROI"
NaijaOnlineBiz,business and agribusiness publisher,Nigeria,,immax2005@gmail.com,widget,high,https://www.naijaonlinebiz.com/how-to-start-poultry-farming-in-nigeria/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/agriculture/poultry-roi/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; first-person 2025 guide emphasizes cost control and profitability"
TheMarketsOnlineNG,agricultural marketplace and publisher,Nigeria,,info@themarketsonlineng.com,widget,high,https://themarketsonlineng.com/2025-cost-breakdown-starting-a-poultry-farm-in-nigeria/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/agriculture/poultry-roi/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; registered Nigerian agricultural marketplace publishes an itemized poultry-cost guide"
John Hill Consult,HR and payroll consultancy,Ghana,,contactus@johnhillconsult.com,widget,high,https://johnhillconsult.com/2024/11/15/a-comprehensive-guide-to-employee-leave-days-in-ghana/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/widgets/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; Accra HR consultancy has an exact employee-leave guide"
The Labour News,labour and employment publisher,Ghana,,thelabournews@gmail.com,widget,high,https://thelabournews.com/labour-laws,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/widgets/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; Ghana-focused labour resource centre has a dedicated leave-entitlements table"
LuceHR,HR software company,Ghana,,https://lucehr.com/blog/ghana-labour-law-leave-entitlements,partnership,medium,https://lucehr.com/blog/ghana-labour-law-leave-entitlements,2026-07-12,2026-07-12,,paused - no valid contact route,0,https://afrotools.com/widgets/,"Live page was rechecked; no legitimate editorial email or contact form is exposed, and the sales flow was not misused for backlink outreach"
Labour Guide South Africa,labour and HR publisher,South Africa,Jan du Toit,hanlie@labourguide.co.za,widget,high,https://labourguide.co.za/employment-condition/working-time-and-overtime/annual-leave-a-comprehensive-guide-2,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/widgets/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; current BCEA guide by the publisher's director covers entitlement, accrual, pay, shutdowns, and carry-over"
Consolidated Employers Organisation,employer association,South Africa,Keanu Ward,admin@ceosa.org.za,widget,high,https://ceosa.org.za/annual-leave-under-the-bcea-what-employers-must-grant-and-what-they-must-pay/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/widgets/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; national employer organisation has a current 2026 BCEA article with accrual formulas"
LabourNet,HR and labour consultancy,South Africa,Monique Marais,solutions@labournet.com,widget,high,https://www.labournet.com/annual-leave-accrual-and-forfeiture-in-south-africa-a-practical-guide-for-employers-and-hr-professionals/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/widgets/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; detailed 2026 employer guide focuses on leave accrual and forfeiture with current case law"
Bizcraft,employment and labour publisher,South Africa,Peter Breedveld,info@bizcraft.co.za,widget,high,https://bizcraft.co.za/blog/leave-rights-in-south-africa/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/widgets/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; current 2026 all-leave guide has a statutory summary table and invites reader questions"
Basket Advisory,HR and business consultancy,Uganda,Kennedy Nyabwala,solutions@basketadvisory.com,widget,high,https://basketadvisory.com/blog-employment-act-uganda.html,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/widgets/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; Kampala consultancy's 2026 employer guide has a dedicated leave-entitlements table"
Kampala Associated Advocates,legal publisher,Uganda,Brian Mukasa,info@kaa.co.ug,widget,high,https://www.kaa.co.ug/the-right-to-annual-leave-and-the-law-in-uganda/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/widgets/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; authoritative law-firm article explains the 21-day entitlement and employer planning duties"
Lawpoint Uganda,legal education publisher,Uganda,Cleopatra Abikiira,lawpointuganda@gmail.com,widget,high,https://www.lawpointuganda.com/post/understanding-the-law-and-practice-of-annual-leave-in-uganda-is-it-an-entitlement-or-a-privilege,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/widgets/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; accessible legal-education article examines annual leave using a Ugandan Industrial Court decision"
Ecolink Power Systems,solar installer and energy publisher,Kenya,,info@ecolinkpowersystems.com,resource link,high,https://ecolinkpowersystems.com/solar-payback-period-kenya/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/solar-roi/kenya/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; current 2026 Kenya payback guide explains the formula and gives residential and commercial examples"
Solar City Eco Energies,solar installer and energy publisher,Kenya,,solarcityecoenergies0@gmail.com,resource link,medium,https://solarcityecoenergies.co.ke/solar-panel-in-kenya/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/solar-roi/kenya/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; detailed Kenya pricing and installation guide includes payback ranges and financing examples"
Kwetu News,business news publisher,Kenya,Rockie Mlamae,info.kwetucollections@gmail.com,resource link,high,https://kwetucollections.co.ke/2025/07/12/business-solar-panels-kenya-costs-top-providers-2025/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/solar-roi/kenya/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; commercial solar article has a system-cost table and payback claims but no interactive estimator"
Voltmatic Energy Solutions,solar installer and energy publisher,Kenya,,info@voltmaticenergysolutions.co.ke,resource link,high,https://voltmaticenergysolutions.co.ke/solar-roi/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/solar-roi/kenya/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; exact Solar ROI guide gives the payback formula and a worked KSh example"
Emerson EiMS,engineering and energy publisher,Kenya,,solar@emersoneims.com,partnership,medium,https://www.emersoneims.com/blog/solar-energy-solutions-kenya,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/solar-roi/kenya/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; comprehensive Kenya solar guide and resource hub has a dedicated solar desk"
ALLSOLAR SA,solar installer network and energy publisher,South Africa,Nico Smit,hartbeespoort@allsolar.co.za,resource link,high,https://allsolar.co.za/commercial-solar-payback-roi-in-sa-2026-allsolar/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/solar-roi/south-africa/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; current July 2026 commercial payback article by Nico Smit explains South African ROI ranges"
EnergyBee,solar marketplace and energy publisher,South Africa,Energy Bee Team,https://energybee.co.za/contact,content collaboration,high,https://energybee.co.za/guides/rooftop-solar-power-roi-payback-guide-south-africa-2026,2026-07-12,2026-07-12,,declined,0,https://afrotools.com/tools/solar-roi/south-africa/,Detailed 2026 ROI guide includes a manual calculation worksheet and explicitly accepts content collaboration inquiries; propose the live South Africa calculator as a reader resource while acknowledging EnergyBee's own tools
OffGrid.co.za,commercial solar provider and energy publisher,South Africa,,info@offgrid.co.za,partnership,medium,https://www.offgrid.co.za/solar-roi-south-africa.html,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/solar-roi/south-africa/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; exact commercial solar ROI guide has formulas and current examples but already links an internal calculator"
BrightPartners Energy Solutions,energy advisory and publisher,Nigeria,,info@brightpartners.ng,partnership,medium,https://www.brightpartnersltd.com/,2026-07-12,2026-07-12,,bounced,0,https://afrotools.com/tools/generator-fuel/nigeria/,"Outreach sent from hello@afrotools.com but bounced; recovery route required; Nigeria-focused advisory already operates a solar-readiness calculator so the pitch uses a complementary diesel baseline tool"
FFD POWER Nigeria,commercial solar and storage publisher,Nigeria,,sales@ffdpowerng.com,partnership,medium,https://ffdpowerng.com/insights/commercial-solar-nigeria.php,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/generator-fuel/nigeria/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; current commercial solar buyer guide already includes proprietary savings and BESS calculators so the pitch uses a complementary diesel baseline tool"
Zambianface,news and practical-guide publisher,Zambia,Velnera Solis,contact@zambianface.com,resource link,high,https://zambianface.com/lifestyle/labour-laws-in-zambia/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/leave-days/,"Current May 2026 Zambia labour-law guide includes a leave section, pro-rata formula, practical activity and collaboration contact page; propose the free calculator beside Activity 2"
ZamPay,payroll and HR software publisher,Zambia,Esther Sakala,info@zampay.biz,partnership,medium,https://zampay.biz/blog/leave-entitlements-zambia-employment-code/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/leave-days/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; detailed primary-source leave guide and proprietary leave module receive a complementary public-tool pitch"
MCM Legal Practitioners,law firm and legal publisher,Zambia,,enquiries@mcmlegalpractice.com,resource link,medium,https://mcmlegalpractitioners.com/hidden-nuggets-of-the-employment-code-act-of-zambia-2016/,2026-07-12,2026-07-12,,bounced,0,https://afrotools.com/tools/leave-days/,"Outreach sent from hello@afrotools.com but bounced; recovery route required; Employment Code insight highlights accrued annual leave"
Stabit Advocates,law firm and legal publisher,Rwanda,,info@stabitadvocates.com,resource link,high,https://stabitadvocates.com/legal-articles/employees-rights-the-stabit-advocates-guide-on-some-of-what-you-need-to-know/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/leave-days/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; exact Rwanda leave guide explains entitlement, service increases, scheduling and interruptions"
FB Attorneys,law firm and legal publisher,Tanzania,,info@fbattorneys.co.tz,resource link,high,https://fbattorneys.co.tz/qa-30-december-2024/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/leave-days/,"Dedicated annual-leave Q&A explains the 28-day cycle, extensions, pay and records; public contact form is available though the displayed email is protected"
Ardean Law Chambers,law firm and legal publisher,Tanzania,Mali Gratian,info@ardeanattorneys.co.tz,resource link,medium,https://www.ardeanattorneys.co.tz/termination-of-employment-contract-in-tanzania/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/leave-days/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; employer termination guide covers accrued annual-leave pay"
URU Attorneys,law firm and employment publisher,Tanzania,Emmanuel B. Shayo,info@uruattorneys.com,partnership,medium,https://uruattorneys.com/employment-labor-law/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/leave-days/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; credible local employment-law resource describes contract and HR-policy leave obligations"
Kolonell,digital business publisher,Senegal,Mohamed Bah,contact@kolonell.com,partnership,medium,https://kolonell.com/fr/blog/kit-autonome-solaire-menage-dakar-50k-500k-fcfa-2026,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/solar-roi/senegal/,"Reviewed French outreach draft saved in hello@afrotools.com; detailed 2026 Dakar solar-kit guide includes five price and payback configurations and has its own configurator"
Nolabi Senegal,solar retailer and energy publisher,Senegal,,Contact@nolabi.com,resource link,high,https://www.nolabi.com/prix-des-panneaux-solaires-au-senegal-combien-prevoir/,2026-07-12,2026-07-12,,bounced,0,https://afrotools.com/tools/solar-roi/senegal/,"Reviewed French outreach draft saved in hello@afrotools.com; exact Senegal solar-price guide and official public email were confirmed"
NRJ SOLAIRE / Observatoire National du Solaire,solar registry and energy publisher,Senegal,L'equipe NRJSOLAIRE,nrjsolaire@nrjsolaire.sn,partnership,medium,https://registry.nrjsolaire.sn/blog/kit-solaire-maison-senegal,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/solar-roi/senegal/,"Reviewed French outreach draft saved in hello@afrotools.com; current sizing guide and national registry have their own simulator so the pitch is complementary"
ETcareers,jobs and employer publisher,Ethiopia,,https://etcareers.com/contact/,resource link,high,https://etcareers.com/blog/ethiopian-labour-law-hiring-guide,2026-07-12,2026-07-12,2026-07-16,submitted,0,https://afrotools.com/tools/leave-days/,Current 2026 employer guide has a dedicated mandatory-leave section and a public contact form; propose the leave-days calculator for the record-keeping paragraph
Ethiolex,legal publisher,Ethiopia,Abr,Yabrham571@gmail.com,resource link,high,https://ethiolex.com/annual-leave-and-monetary-compensation-in-ethiopian-labor-law/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/leave-days/,"Personalized outreach sent from hello@afrotools.com and verified in Hostinger Sent; detailed April 2026 annual-leave article analyses three Ethiopian Cassation Bench decisions"
BeyondForest,agriculture publisher and farm supplier,Kenya,,forestbeyond0@gmail.com,resource link,high,https://www.beyondforest.org/post/maize-farming-in-kenya-2026-guide-from-planting-to-profit-per-acre,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/agriculture/farm-profit/kenya,"Current Kenya maize guide contains a cost-vs-profit table, market-price ranges and yield discussion; public footer email and Nairobi location are visible; personalized resource-link request sent from hello@afrotools.com and verified in Sent"
Farmers Trend Ltd.,agriculture publisher,Kenya,,info@farmerstrend.co.ke,resource link,high,https://farmerstrend.co.ke/crops/maize-farming/maize-farming-in-kenya-2026-commercial-guide/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/agriculture/farm-profit/kenya,"Current commercial maize guide gives a KSh 47,500 per-acre budget and 35-40 bag target; personalized resource-link request sent from hello@afrotools.com and verified in Sent; do not pay for the separate dofollow guest-post offer"
Agriculture Nigeria / SENCE Agric,agriculture publisher and advisory firm,Nigeria,,info@sence-agric.com,resource link,high,https://www.agriculturenigeria.com/cassava/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/agriculture/cassava-processing/nigeria,"Cassava guide covers cultivation and processing costs, 10-30 tonne yield scenarios and profitability; personalized resource-link request sent from hello@afrotools.com and verified in Sent"
The High Street Business,business and agriculture publisher,Ghana,Samuel Kwame Boadu,thehighstreetbusiness@gmail.com,resource link,high,https://thehighstreetbusiness.com/2026/05/18/why-poultry-farming-fails-or-succeeds-in-ghana/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/agriculture/poultry-roi/ghana,"Current Ghana poultry economics report includes per-bird costs, broiler and layer models and break-even formulas; personalized resource-link request sent from hello@afrotools.com and verified in Sent"
FarmerTribe,agriculture publisher and advisory firm,Ghana,,info@farmertribe.com,resource link,high,https://farmertribe.com/maize-farming-in-ghana/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/agriculture/farm-profit/ghana,"Maize guide contains a worked GHS 900 cost, GHS 600 profit and 66.7 percent ROI example based on older input prices; personalized resource-link request sent from hello@afrotools.com and verified in Sent"
SchoolsInKenya.co.ke,education publisher and school directory,Kenya,,info@schoolsinkenya.co.ke,resource link,high,https://schoolsinkenya.co.ke/school-fees-in-kenya-2026-the-complete-guide-for-parents/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/boarding-school/,"Current 2026 school-fees guide includes hidden costs and an all-in annual budgeting framework; personalized calculator request sent from hello@afrotools.com and verified in Sent"
AfterSchoolAfrica,education and opportunities publisher,Nigeria / pan-African,,publish@afterschoolafrica.com,resource link,high,https://www.afterschoolafrica.com/117403/the-hidden-cost-of-studying-abroad-in-2026-that-most-universities-dont-talk-about/,2026-07-12,2026-07-12,2026-07-16,sent,0,https://afrotools.com/tools/study-abroad-cost/,"Current 2026 article contains a worked first-year budget spanning visa, housing, travel, health, books, transport, emergency funds and forex; personalized request sent and verified in Sent"
