"order","id","type","priority","name","route","path","dimensions","reference_image","alt","locale_reuse","status","reason","prompt"
"11","recipe-bamia","recipe-hero","75","Bamia","/tools/afrokitchen/recipes/bamia/","/assets/img/kitchen/bamia.webp","1200x800","","Bamia from South Sudan","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Bamia from South Sudan. Recipe brief: South Sudanese bamia, lamb and okra stew with tomato, onion, garlic, coriander, and a bright lemon finish. Main ingredients from the saved recipe: lamb, beef, or goat, okra, vegetable oil, onions, garlic, tomatoes, tomato paste, ground coriander, water or meat stock. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"12","recipe-bamia-south-sudan-ss","recipe-hero","75","Bamia","/tools/afrokitchen/recipes/bamia-south-sudan-ss/","/assets/img/kitchen/bamia-south-sudan-ss.webp","1200x800","","Bamia from South Sudan","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Bamia from South Sudan. Recipe brief: Bamia is a stew with okra and lamb, tomato and garlic. Serve Main ingredients from the saved recipe: okra and lamb, oil, onion, tomatoes, tomato and garlic, stock or water, salt and pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"13","recipe-banana-assada-st","recipe-hero","75","Banana Assada","/tools/afrokitchen/recipes/banana-assada-st/","/assets/img/kitchen/banana-assada-st.webp","1200x800","","Banana Assada from São Tomé and Príncipe","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Banana Assada from São Tomé and Príncipe. Recipe brief: Banana Assada is a snack with ripe or green bananas, lime and chili. Serve Main ingredients from the saved recipe: ripe or green bananas, onion, garlic, lime and chili, oil, lemon, salt and pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"14","recipe-blabla-st","recipe-hero","75","Blabla","/tools/afrokitchen/recipes/blabla-st/","/assets/img/kitchen/blabla-st.webp","1200x800","","Blabla from São Tomé and Príncipe","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Blabla from São Tomé and Príncipe. Recipe brief: Blabla is a seafood with smoked or fresh fish, tomato and palm oil. Serve Main ingredients from the saved recipe: smoked or fresh fish, oil, onion, tomatoes, tomato and palm oil, stock or water, salt and pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"15","recipe-bolo-polanna-mz","recipe-hero","75","Bolo Polana","/tools/afrokitchen/recipes/bolo-polanna-mz/","/assets/img/kitchen/bolo-polanna-mz.webp","1200x800","","Bolo Polana from Mozambique","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Bolo Polana from Mozambique. Recipe brief: Bolo Polana is a dessert with cashew nuts and potato, citrus and vanilla. Serve Main ingredients from the saved recipe: cashew nuts and potato, sugar or honey, citrus and vanilla, vanilla, cardamom, or nutmeg, eggs or ripe bananas, oil or butter. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"16","recipe-cafriela-gw","recipe-hero","75","Cafriela","/tools/afrokitchen/recipes/cafriela-gw/","/assets/img/kitchen/cafriela-gw.webp","1200x800","","Cafriela from Guinea-Bissau","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Cafriela from Guinea-Bissau. Recipe brief: Cafriela is a grill with chicken pieces, lime, garlic, and chili. Serve Main ingredients from the saved recipe: chicken pieces, onion, garlic, lime, garlic, and chili, oil, lemon, salt and pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"17","recipe-caril-de-camarao","recipe-hero","75","Caril de Camarao","/tools/afrokitchen/recipes/caril-de-camarao/","/assets/img/kitchen/caril-de-camarao.webp","1200x800","","Caril de Camarao from Mozambique","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Caril de Camarao from Mozambique. Recipe brief: Mozambican caril de camarão, prawns simmered briefly in coconut milk, tomato, curry spice, garlic, ginger, and piri-piri. Main ingredients from the saved recipe: large prawns, onion, garlic, ginger, tomatoes, coconut milk, curry powder, turmeric, olive oil. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"18","recipe-cassava-leaves-sl","recipe-hero","75","Cassava Leaves","/tools/afrokitchen/recipes/cassava-leaves-sl/","/assets/img/kitchen/cassava-leaves-sl.webp","1200x800","","Cassava Leaves from Sierra Leone","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Cassava Leaves from Sierra Leone. Recipe brief: Cassava Leaves is a stew with cassava leaves, peanut and smoked fish. Serve Main ingredients from the saved recipe: cassava leaves, red palm oil or neutral oil, onion, tomatoes, peanut and smoked fish, ground peanuts or coconut milk, salt and chili. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"19","recipe-citronelle-tea-sc","recipe-hero","75","Citronelle Tea","/tools/afrokitchen/recipes/citronelle-tea-sc/","/assets/img/kitchen/citronelle-tea-sc.webp","1200x800","","Citronelle Tea from Seychelles","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Citronelle Tea from Seychelles. Recipe brief: Citronelle Tea is a drink with lemongrass, ginger and honey. Serve Main ingredients from the saved recipe: lemongrass, water, fresh ginger, cloves or grains of spice, sugar or honey, lime or lemon. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"20","recipe-dan-wake-ng","recipe-hero","75","Dan Wake","/tools/afrokitchen/recipes/dan-wake-ng/","/assets/img/kitchen/dan-wake-ng.webp","1200x800","","Dan Wake from Nigeria","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Dan Wake from Nigeria. Recipe brief: Hausa bean flour dumplings boiled until tender, then dressed with oil, yaji, onions, tomato, and boiled egg. Main ingredients from the saved recipe: bean flour, cassava flour or tapioca starch, water, groundnut oil or palm oil, yaji or suya pepper, onion, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"21","recipe-deleele-zm","recipe-hero","75","Delele","/tools/afrokitchen/recipes/deleele-zm/","/assets/img/kitchen/deleele-zm.webp","1200x800","","Delele from Zambia","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Delele from Zambia. Recipe brief: Delele is a side with okra, tomato and groundnut. Serve Main ingredients from the saved recipe: okra, oil, onion, tomatoes, tomato and groundnut, stock or water, salt and pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"22","recipe-efo-riro-ng","recipe-hero","75","Efo Riro","/tools/afrokitchen/recipes/efo-riro-ng/","/assets/img/kitchen/efo-riro-ng.webp","1200x800","","Efo Riro from Nigeria","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Efo Riro from Nigeria. Recipe brief: A Yoruba spinach and pepper stew cooked with palm oil, locust beans, crayfish, and assorted meats or fish. Main ingredients from the saved recipe: spinach or amaranth greens, red bell peppers, scotch bonnet peppers, onion, palm oil, iru or locust beans, ground crayfish, cooked assorted meat, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"23","recipe-egusi-soup-ng","recipe-hero","75","Egusi Soup","/tools/afrokitchen/recipes/egusi-soup-ng/","/assets/img/kitchen/egusi-soup-ng.webp","1200x800","","Egusi Soup from Nigeria","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Egusi Soup from Nigeria. Recipe brief: Nigerian egusi soup with ground melon seeds, palm oil, pepper base, assorted meats, stockfish, crayfish, and leafy greens. Main ingredients from the saved recipe: ground egusi melon seeds, assorted beef, tripe, or goat, stockfish or dried fish, ground crayfish, palm oil, onions, scotch bonnet peppers, meat stock, ugu, bitterleaf, spinach, or uziza. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"24","recipe-fish-couscous-tn","recipe-hero","75","Tunisian Fish Couscous","/tools/afrokitchen/recipes/fish-couscous-tn/","/assets/img/kitchen/fish-couscous-tn.webp","1200x800","","Tunisian Fish Couscous from Tunisia","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Tunisian Fish Couscous from Tunisia. Recipe brief: Tunisian couscous steamed over spicy tomato fish broth with vegetables, chickpeas, and harissa. Main ingredients from the saved recipe: medium couscous, olive oil, firm fish steaks, onion, tomato paste, harissa, cooked chickpeas, carrots, potatoes. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"25","recipe-fisherman-soup-ng","recipe-hero","75","Fisherman Soup","/tools/afrokitchen/recipes/fisherman-soup-ng/","/assets/img/kitchen/fisherman-soup-ng.webp","1200x800","","Fisherman Soup from Nigeria","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Fisherman Soup from Nigeria. Recipe brief: South-South Nigerian seafood soup with fresh fish, prawns, periwinkles, crayfish, pepper, yam thickener, and aromatic leaves. Main ingredients from the saved recipe: firm fresh fish, prawns or shrimp, yam or cocoyam, ground crayfish, scotch bonnet peppers, onion, uziza or scent leaf, fish stock or water, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"26","recipe-fufu-gboma-dessi-tg","recipe-hero","75","Fufu with Gboma Dessi","/tools/afrokitchen/recipes/fufu-gboma-dessi-tg/","/assets/img/kitchen/fufu-gboma-dessi-tg.webp","1200x800","","Fufu with Gboma Dessi from Togo","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Fufu with Gboma Dessi from Togo. Recipe brief: Togolese fufu with gboma dessi, pounded yam served with spinach tomato stew, palm oil, garlic, ginger, chile, and seafood or meat. Main ingredients from the saved recipe: yam or cassava, gboma leaves, spinach, or amaranth, beef, smoked fish, crab, or shrimp, red palm oil or vegetable oil, onions, garlic, ginger, tomatoes, tomato paste. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"27","recipe-ginger-beer-sl","recipe-hero","75","Sierra Leone Ginger Beer","/tools/afrokitchen/recipes/ginger-beer-sl/","/assets/img/kitchen/ginger-beer-sl.webp","1200x800","","Sierra Leone Ginger Beer from Sierra Leone","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Sierra Leone Ginger Beer from Sierra Leone. Recipe brief: Sierra Leone Ginger Beer is a drink with fresh ginger, lime and sugar. Serve Main ingredients from the saved recipe: fresh ginger, water, fresh ginger, cloves or grains of spice, sugar or honey, lime or lemon. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"28","recipe-grilled-fish-creole","recipe-hero","75","Grilled Fish Creole","/tools/afrokitchen/recipes/grilled-fish-creole/","/assets/img/kitchen/grilled-fish-creole.webp","1200x800","","Grilled Fish Creole from Seychelles","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Grilled Fish Creole from Seychelles. Recipe brief: Seychellois grilled fish with garlic, ginger, lime, chile, and a chunky Creole tomato sauce. Main ingredients from the saved recipe: snapper, grouper, or firm fish fillets, olive oil, lime or lemon, tomatoes, onion, garlic, ginger, parsley or coriander, fresh thyme. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"29","recipe-ibihaza-rw","recipe-hero","75","Ibihaza","/tools/afrokitchen/recipes/ibihaza-rw/","/assets/img/kitchen/ibihaza-rw.webp","1200x800","","Ibihaza from Rwanda","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Ibihaza from Rwanda. Recipe brief: Ibihaza is a side with pumpkin, beans and peanut. Serve Main ingredients from the saved recipe: pumpkin, oil, onion, tomatoes, beans and peanut, stock or water, salt and pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"30","recipe-ikivuguto-rw","recipe-hero","75","Rwandan Ikivuguto","/tools/afrokitchen/recipes/ikivuguto-rw/","/assets/img/kitchen/ikivuguto-rw.webp","1200x800","","Rwandan Ikivuguto from Rwanda","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Rwandan Ikivuguto from Rwanda. Recipe brief: Rwandan Ikivuguto is a drink with milk, live culture starter. Serve Main ingredients from the saved recipe: milk, clean water, live culture starter, sugar or honey, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"31","recipe-kapenta-stew-zm","recipe-hero","75","Kapenta Stew","/tools/afrokitchen/recipes/kapenta-stew-zm/","/assets/img/kitchen/kapenta-stew-zm.webp","1200x800","","Kapenta Stew from Zambia","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Kapenta Stew from Zambia. Recipe brief: Kapenta Stew is a seafood with dried kapenta fish, tomato and onion. Serve Main ingredients from the saved recipe: dried kapenta fish, oil, onion, tomatoes, tomato and onion, stock or water, salt and pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"32","recipe-karkade-south-sudan-ss","recipe-hero","75","Karkade","/tools/afrokitchen/recipes/karkade-south-sudan-ss/","/assets/img/kitchen/karkade-south-sudan-ss.webp","1200x800","","Karkade from South Sudan","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Karkade from South Sudan. Recipe brief: Karkade is a drink with dried hibiscus, ginger and sugar. Serve Main ingredients from the saved recipe: dried hibiscus, water, fresh ginger, cloves or grains of spice, sugar or honey, lime or lemon. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"33","recipe-kat-kat-banane-sc","recipe-hero","75","Kat-Kat Banane","/tools/afrokitchen/recipes/kat-kat-banane-sc/","/assets/img/kitchen/kat-kat-banane-sc.webp","1200x800","","Kat-Kat Banane from Seychelles","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Kat-Kat Banane from Seychelles. Recipe brief: Kat-Kat Banane is a main dish with green bananas and fish, coconut milk. Serve Main ingredients from the saved recipe: green bananas and fish, oil, onion, tomatoes, coconut milk, stock or water, salt and pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
