vehicle_id,make,make_slug,model,model_slug,year,year_bucket,body_type,fuel_types,transmissions,source_markets,candidate_priority,tags,blueprint_family,image_name,save_directory
mercedes-benz-eqb-2024,Mercedes-Benz,mercedes-benz,EQB,eqb,2024,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,high,luxury|premium|ev|africa-buy,mercedes-benz-eqb,mercedes-benz-eqb-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqb/2024/
mercedes-benz-eqe-2022,Mercedes-Benz,mercedes-benz,EQE,eqe,2022,very_recent,sedan,electric,automatic,uk|south-africa|local-dealer,high,luxury|premium|ev|africa-buy,mercedes-benz-eqe,mercedes-benz-eqe-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqe/2022/
mercedes-benz-eqe-2023,Mercedes-Benz,mercedes-benz,EQE,eqe,2023,very_recent,sedan,electric,automatic,uk|south-africa|local-dealer,high,luxury|premium|ev|africa-buy,mercedes-benz-eqe,mercedes-benz-eqe-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqe/2023/
mercedes-benz-eqe-2024,Mercedes-Benz,mercedes-benz,EQE,eqe,2024,very_recent,sedan,electric,automatic,uk|south-africa|local-dealer,high,luxury|premium|ev|africa-buy,mercedes-benz-eqe,mercedes-benz-eqe-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqe/2024/
mercedes-benz-eqs-2022,Mercedes-Benz,mercedes-benz,EQS,eqs,2022,very_recent,sedan,electric,automatic,uk|south-africa|local-dealer,high,luxury|premium|ev|africa-buy,mercedes-benz-eqs,mercedes-benz-eqs-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqs/2022/
mercedes-benz-eqs-2023,Mercedes-Benz,mercedes-benz,EQS,eqs,2023,very_recent,sedan,electric,automatic,uk|south-africa|local-dealer,high,luxury|premium|ev|africa-buy,mercedes-benz-eqs,mercedes-benz-eqs-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqs/2023/
mercedes-benz-eqs-2024,Mercedes-Benz,mercedes-benz,EQS,eqs,2024,very_recent,sedan,electric,automatic,uk|south-africa|local-dealer,high,luxury|premium|ev|africa-buy,mercedes-benz-eqs,mercedes-benz-eqs-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/eqs/2024/
volvo-ex30-2024,Volvo,volvo,EX30,ex30,2024,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,high,premium|ev|crossover|africa-buy,volvo-ex30,volvo-ex30-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/volvo/ex30/2024/
volvo-ex30-2025,Volvo,volvo,EX30,ex30,2025,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,high,premium|ev|crossover|africa-buy,volvo-ex30,volvo-ex30-2025-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/volvo/ex30/2025/
volvo-xc40-recharge-2022,Volvo,volvo,XC40 Recharge,xc40-recharge,2022,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,medium,premium|ev|suv|africa-buy,volvo-xc40-recharge,volvo-xc40-recharge-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/volvo/xc40-recharge/2022/
volvo-xc40-recharge-2023,Volvo,volvo,XC40 Recharge,xc40-recharge,2023,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,medium,premium|ev|suv|africa-buy,volvo-xc40-recharge,volvo-xc40-recharge-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/volvo/xc40-recharge/2023/
volvo-xc40-recharge-2024,Volvo,volvo,XC40 Recharge,xc40-recharge,2024,very_recent,suv,electric,automatic,uk|south-africa|local-dealer,medium,premium|ev|suv|africa-buy,volvo-xc40-recharge,volvo-xc40-recharge-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/volvo/xc40-recharge/2024/
