vehicle_id,make,model,year,body_type,normalized_trim,candidate_priority,target_country_code,source_market,verification_status,local_observed_date,observed_local_prices,local_currency,local_median_price,local_sample_count,local_listing_urls,source_observed_date,observed_source_prices,source_currency,source_median_price,source_sample_count,source_listing_urls,image_license_status,promotion_ready,promotion_blockers,available_country_codes,available_source_markets,evidence_pair_count
bmw-5-series-2024,BMW,5 Series,2024,sedan,520d M Sport,high,ZA,korea,verified-source-backed,2026-04-15,949950,ZAR,949950,1,https://www.cars.co.za/for-sale/used/2024-BMW-5-Series-520d-M-Sport-Mpumalanga-Nelspruit/10869291/,2026-04-15,42881,USD,42881,1,https://www.beforward.jp/fr/bmw/5-series/ca368081/id/12452849/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-x5-2007,BMW,X5,2007,suv,3.0d Auto,high,ZA,uk,verified-source-backed,2026-04-15,92900,ZAR,92900,1,https://www.cars.co.za/for-sale/used/2007-BMW-X5-3.0d-Auto-Gauteng-Centurion/10562123/,2026-04-15,8210,USD,8210,1,https://www.beforward.jp/fr/bmw/x5/ca483726/id/12569891/,pending-licensed-image,false,"The source sample is a generic automatic diesel X5 rather than an exact 3.0d trim match, so trim normalization is still needed. | Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.",ZA,uk,1
bmw-x5-2010,BMW,X5,2010,suv,xDrive30d M Sport,high,ZA,uk,verified-source-backed,2026-04-15,129900,ZAR,129900,1,https://www.autotrader.co.za/car-for-sale/bmw/x5/xdrive30d/28503221,2026-04-15,11490,USD,11490,1,https://www.beforward.jp/pt/bmw/x5/by850351/id/12002780/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,uk,1
bmw-x5-2014,BMW,X5,2014,suv,xDrive30d M Sport,high,ZA,japan,verified-source-backed,2026-04-15,429900,ZAR,429900,1,https://www.autotrader.co.za/car-for-sale/bmw/x5/xdrive30d/28245115,2026-04-15,15970,USD,15970,1,https://www.beforward.jp/ge/bmw/x5/ca033670/id/12114618/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,japan,1
bmw-x5-2018,BMW,X5,2018,suv,,high,ZA,uae,verified-source-backed,2026-04-15,479990|529900|649900,ZAR,529900,3,https://www.autotrader.co.za/car-for-sale/bmw/x5/xdrive30d/28415131 | https://www.autotrader.co.za/car-for-sale/bmw/x5/xdrive40d/28489255 | https://www.autotrader.co.za/car-for-sale/bmw/x5/xdrive30d/28456406,2026-04-15,30100|28610|25885|32425|32425,USD,30100,5,https://www.dubicars.com/dubai/used/bmw/x5-series/2018 | https://www.dubicars.com/abu-dhabi/used/bmw/x5/2018,pending-licensed-image,false,The staged sample spans multiple X5 trims and engine variants and should stay trim-normalized if promoted beyond staging. | Only South Africa and Kenya local-market evidence are verified so far. | No licensed image has been attached yet.,ZA|KE,uae|korea,2
bmw-x5-2021,BMW,X5,2021,suv,M50i,high,ZA,korea,verified-source-backed,2026-04-15,1289900,ZAR,1289900,1,https://www.autotrader.co.za/car-for-sale/bmw/x5/m50i/28505304,2026-04-15,75221,USD,75221,1,https://www.beforward.jp/pt/bmw/x5/ca457688/id/12543727/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,korea,1
bmw-x5-2023,BMW,X5,2023,suv,xDrive40i M Sport sample,high,NG,korea,verified-source-backed,2026-04-15,120015000,NGN,120015000,1,https://autochek.africa/ng/car/x5-bmw-ref-Xo1LcCNRr,2026-04-15,98365,USD,98365,1,https://www.beforward.jp/fr/bmw/x5/by869837/id/12022427/,pending-licensed-image,false,Only one Nigeria local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,NG,korea,1
byd-atto-3-2023,BYD,Atto 3,2023,suv,Standard Range,high,ZA,uk,verified-source-backed,2026-04-15,699900,ZAR,699900,1,https://www.cars.co.za/newcars/BYD/Atto-3/Standard-Range/,2026-04-15,18698|19390|19100|18990|18699,GBP,18990,5,https://www.autotrader.co.uk/cars/used/byd/atto-3/2023,pending-licensed-image,false,The local sample comes from a South Africa new-car pricing page rather than a used listing. | Only South Africa local-market evidence is verified so far. | No licensed image has been attached yet.,ZA,uk,1
byd-atto-3-2024,BYD,Atto 3,2024,suv,Standard / Extended sample,high,ZA,uk,verified-source-backed,2026-04-15,569890|549890|699890,ZAR,569890,3,https://www.cars.co.za/for-sale/used/2024-BYD-Atto-3-Standard-Kwazulu-Natal-Umhlanga-Rocks/10760996/ | https://www.cars.co.za/for-sale/used/2024-BYD-Atto-3-BYD-Atto-3-Extended-Kwazulu-Natal-Ballito/9599965/ | https://www.cars.co.za/usedcars/BYD/Atto-3/,2026-04-15,18899|20998|21100,GBP,20998,3,https://www.autotrader.co.uk/cars/used/byd/atto-3/2024,pending-licensed-image,false,Only South Africa local-market evidence is verified so far. | The staged source samples span UK used-market and Singapore price-list evidence and should stay market-normalized if promoted beyond staging. | No licensed image has been attached yet.,ZA,uk|singapore,2
byd-atto-3-2025,BYD,Atto 3,2025,suv,Standard,high,ZA,uk,verified-source-backed,2026-04-15,669900,ZAR,669900,1,https://www.cars.co.za/for-sale/new/2025-BYD-Atto-3-Standard-Gauteng-Pretoria/10602640/,2026-04-15,25498,GBP,25498,1,https://www.autotrader.co.uk/cars/used/byd/suv/electric/atto-3/2025,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,uk,1
byd-dolphin-2024,BYD,Dolphin,2024,hatchback,Standard / Standard Range sample,high,ZA,uk,verified-source-backed,2026-04-15,429900|435900,ZAR,432900,2,https://www.cars.co.za/for-sale/used/2024-BYD-Dolphin-Standard-Kwazulu-Natal-Durban/10479294/ | https://www.cars.co.za/for-sale/used/2024-BYD-Dolphin-Standard-Range---Auto-Gauteng-Johannesburg/10689213/,2026-04-15,14495|18100|17299|17025,GBP,17162,4,https://www.autotrader.co.uk/cars/used/byd/dolphin/2024,pending-licensed-image,false,Only South Africa local-market evidence is verified so far. | The staged source samples span UK used-market and Singapore price-list evidence and should stay market-normalized if promoted beyond staging. | No licensed image has been attached yet.,ZA,uk|singapore,2
byd-dolphin-2025,BYD,Dolphin,2025,hatchback,Standard,high,ZA,uk,verified-source-backed,2026-04-15,399888,ZAR,399888,1,https://www.cars.co.za/for-sale/used/2025-BYD-Dolphin-STANDARD-Kwazulu-Natal-Pinetown/10508155/,2026-04-15,15899,GBP,15899,1,https://www.autotrader.co.uk/cars/used/byd/dolphin/2025,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,uk,1
byd-seal-2024,BYD,Seal,2024,sedan,,medium,ZA,uk,verified-source-backed,2026-04-15,839899,ZAR,839899,1,https://www.cars.co.za/usedcars/BYD/Seal/ | https://www.cars.co.za/usedcars/Gauteng/BYD/Seal/,2026-04-15,29750|29895|30100|30000|28008,GBP,29895,5,https://www.autotrader.co.uk/cars/used/byd/seal/2024,pending-licensed-image,false,Only one South Africa local-market result is verified so far. | The source sample spans multiple UK trim levels and should stay trim-normalized if promoted beyond staging. | No licensed image has been attached yet.,ZA,uk,1
byd-seal-2025,BYD,Seal,2025,sedan,,medium,ZA,uk,verified-source-backed,2026-04-15,929900|1159900|1169900,ZAR,1159900,3,https://www.cars.co.za/for-sale/new/2025-BYD-Seal-AWD-Gauteng-Pretoria/10593116/ | https://www.cars.co.za/usedcars/BYD/Seal/ | https://www.cars.co.za/usedcars/Kwazulu-Natal/durban/BYD/,2026-04-15,28890|30990|32098|31500,GBP,31245,4,https://www.autotrader.co.uk/cars/used/byd/seal/2025 | https://www.autotrader.co.uk/cars/used/byd/saloon/electric/seal/2025,pending-licensed-image,false,Only South Africa local-market evidence is verified so far. | No licensed image has been attached yet.,ZA,uk,1
chery-tiggo-7-pro-2024,Chery,Tiggo 7 Pro,2024,suv,1.5T Executive,medium,ZA,malaysia,verified-source-backed,2026-04-15,379000,ZAR,379000,1,https://www.autotrader.co.za/car-for-sale/chery/tiggo-7-pro/executive/28392659,2026-04-15,89800,MYR,89800,1,https://www.mudah.my/2024-chery-tiggo-7-pro-low-mileage-full-service-113842053.htm,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,malaysia,1
chery-tiggo-7-pro-2025,Chery,Tiggo 7 Pro,2025,suv,1.5T Executive CVT,medium,ZA,malaysia,verified-source-backed,2026-04-15,429900,ZAR,429900,1,https://www.carfind.co.za/cars-for-sale/listing/2025-Chery-Tiggo-7-Pro-15T-Executive-CVT-Gauteng-Pretoria/7755516,2026-04-15,113800,MYR,113800,1,https://www.carlist.my/cars-for-sale/chery/tiggo-7-pro/year-2025/malaysia,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,malaysia,1
gac-aion-y-2024,GAC,Aion Y,2024,suv,,medium,NG,malaysia,verified-source-backed,2026-04-15,39900000|40000000,NGN,39950000,2,https://jiji.ng/cars/gac-aion-y | https://jiji.ng/cars/gac,2026-04-15,88800|95800,MYR,92300,2,https://www.mudah.my/2024-gac-aion-y-plus-elite-my24-a-112436020.htm | https://www.mudah.my/malaysia/new-cars-for-sale/gac-aion/y-plus/electric,pending-licensed-image,false,Only Nigeria local-market evidence is verified so far. | No licensed image has been attached yet.,NG,malaysia,1
gac-aion-y-2025,GAC,Aion Y,2025,suv,,medium,NG,malaysia,verified-source-backed,2026-04-15,45000000,NGN,45000000,1,https://jiji.ng/central-business-district/cars/new-gac-aion-y-2025-white-fq25oskWs5GHz9W0pf2dZKw5.html,2026-04-15,79800|82800|85888,MYR,82800,3,https://www.mudah.my/2025-gac-aion-y-plus-premium-430km-wltp-113359592.htm | https://www.mudah.my/malaysia/used-cars-for-sale/gac-aion/price-from-70000-below-80000-mfg-year-2025 | https://www.mudah.my/malaysia/cars-for-sale/gac-aion/price-from-80000-below-90000-mfg-year-2025,pending-licensed-image,false,Only Nigeria local-market evidence is verified so far. | No licensed image has been attached yet.,NG,malaysia,1
haval-jolion-hev-2024,Haval,Jolion HEV,2024,suv,1.5 HEV Luxury,medium,ZA,pakistan,verified-source-backed,2026-04-15,449900,ZAR,449900,1,https://www.autotrader.co.za/car-for-sale/haval/jolion/hev-luxury/28076857,2026-04-15,9200000,PKR,9200000,1,https://www.pakwheels.com/used-cars/haval-jolion-2024-for-sale-in-lahore-10448850,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,pakistan,1
haval-jolion-hev-2025,Haval,Jolion HEV,2025,suv,1.5 HEV Ultra Luxury,medium,ZA,pakistan,verified-source-backed,2026-04-15,449995,ZAR,449995,1,https://www.autotrader.co.za/car-for-sale/haval/jolion-pro/hev-ultra-luxury/28106512,2026-04-15,9200000,PKR,9200000,1,https://www.pakwheels.com/used-cars/haval-jolion-2025-for-sale-in-islamabad-11354005,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,pakistan,1
jetour-dashing-2024,Jetour,Dashing,2024,suv,1.5T Deluxe,medium,ZA,malaysia,verified-source-backed,2026-04-15,469900,ZAR,469900,1,https://www.autotrader.co.za/car-for-sale/jetour/dashing/1.5/27750735,2026-04-15,109800|116800,MYR,113300,2,https://models.jetour.com.my/dashing/,pending-licensed-image,false,The Malaysia source sample comes from official model pricing rather than a single trim-matched used export listing. | Only one South Africa local-market listing is verified so far. | No licensed image has been attached yet.,ZA,malaysia,1
jetour-dashing-2025,Jetour,Dashing,2025,suv,1.5T Deluxe,medium,ZA,uae,verified-source-backed,2026-04-15,469900,ZAR,469900,1,https://www.autotrader.co.za/car-for-sale/jetour/dashing/1.5/27867521,2026-04-15,35960,USD,35960,1,https://www.beforward.jp/ge/jetour/dashing/ca019501/id/12101506/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,uae,1
land-rover-range-rover-evoque-2022,Land Rover,Range Rover Evoque,2022,suv,,medium,ZA,japan,verified-source-backed,2026-04-15,659995,ZAR,659995,1,https://www.cars.co.za/for-sale/used/2022-Land-Rover-Range-Rover-Evoque-2.0D-Autobiography--D200-147kW-Gauteng-Pretoria/10654689/,2026-04-15,25570,USD,25570,1,https://www.beforward.jp/land-rover/range-rover-evoque/cb371450/id/13430391/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,japan,1
land-rover-range-rover-sport-2008,Land Rover,Range Rover Sport,2008,suv,TDV8,high,ZA,uk,verified-source-backed,2026-04-15,139000,ZAR,139000,1,https://www.autotrader.co.za/car-for-sale/land-rover/range-rover-sport/tdv8/28434448,2026-04-15,8990,USD,8990,1,https://sp.beforward.jp/land-rover/range-rover-sport/cc622110/id/14643098/,pending-licensed-image,false,"Local sample is TDV8 while the source sample is 3.6 TD V8 HSE, so trim normalization is still needed. | Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.",ZA,uk,1
land-rover-range-rover-sport-2012,Land Rover,Range Rover Sport,2012,suv,3.0 D HSE Lux,high,ZA,japan,verified-source-backed,2026-04-15,179999,ZAR,179999,1,https://www.cars.co.za/for-sale/used/2012-Land-Rover-Range-Rover-Sport-3.0-D-HSE-Lux-Gauteng-Johannesburg/10573331/,2026-04-15,11590,USD,11590,1,https://sp.beforward.jp/stocklist/make%3D52/model%3D848/mfg_year_from%3D2012/mfg_year_to%3D2012,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,japan,1
land-rover-range-rover-sport-2016,Land Rover,Range Rover Sport,2016,suv,HSE SDV6,high,ZA,uk,verified-source-backed,2026-04-15,549950,ZAR,549950,1,https://www.autotrader.co.za/car-for-sale/land-rover/range-rover-sport/sdv6/27968283,2026-04-15,31500,USD,31500,1,https://www.beforward.jp/land-rover/range-rover-sport/ca391932/id/12476297/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,uk,1
land-rover-range-rover-sport-2019,Land Rover,Range Rover Sport,2019,suv,,high,ZA,uae,verified-source-backed,2026-04-15,879950|949950|969950,ZAR,949950,3,https://www.autotrader.co.za/car-for-sale/land-rover/range-rover-sport/sdv6/27947472 | https://www.autotrader.co.za/car-for-sale/land-rover/range-rover-sport/tdv6/28505954 | https://www.autotrader.co.za/car-for-sale/land-rover/range-rover-sport/supercharged/28489560,2026-04-15,53400|43800|41000|57500|63000,USD,53400,5,https://www.dubicars.com/dubai/used/land-rover/range-rover-group/2019 | https://www.dubicars.com/dubai/used/land-rover/range-rover-sport-supercharged/2019,pending-licensed-image,false,"The staged sample spans diesel, petrol, and performance trims and should stay trim-normalized if promoted beyond staging. | Only South Africa and Ghana local-market evidence are verified so far. | No licensed image has been attached yet.",ZA|GH,uae|uk,2
land-rover-range-rover-sport-2022,Land Rover,Range Rover Sport,2022,suv,HSE TDV6,high,ZA,uk,verified-source-backed,2026-04-15,899900,ZAR,899900,1,https://www.autotrader.co.za/car-for-sale/land-rover/range-rover-sport/tdv6/28456564,2026-04-15,50650,USD,50650,1,https://www.beforward.jp/fr/land-rover/range-rover-sport/by457512/id/11606217/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,uk,1
land-rover-range-rover-sport-2024,Land Rover,Range Rover Sport,2024,suv,D350 Dynamic HSE,high,ZA,uk,verified-source-backed,2026-04-15,2899000,ZAR,2899000,1,https://www.autotrader.co.za/car-for-sale/land-rover/range-rover-sport/d350/27997280,2026-04-15,102320,USD,102320,1,https://www.beforward.jp/pt/land-rover/range-rover-sport/ca236905/id/12320117/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,uk,1
lexus-lx-2022,Lexus,LX,2022,suv,LX 600 sample,medium,ZA,uae,verified-source-backed,2026-04-15,1989900|2049900,ZAR,2019900,2,https://www.autotrader.co.za/car-for-sale/lexus/lx/600/28299558 | https://www.autotrader.co.za/car-for-sale/lexus/lx/600/28096467,2026-04-15,346000|429000,AED,387500,2,https://www.dubicars.com/dubai/used/lexus/lx-600/2022 | https://www.dubicars.com/dubai/used/lexus/lx-600,pending-licensed-image,false,The Dubai source sample relies on average trim-level starting prices rather than a single trim-matched export listing. | Only South Africa and Nigeria local-market evidence are verified so far. | No licensed image has been attached yet.,ZA|NG,uae|japan,2
lexus-lx-2024,Lexus,LX,2024,suv,600 F Sport,medium,ZA,japan,verified-source-backed,2026-04-15,1999990,ZAR,1999990,1,https://www.autotrader.co.za/car-for-sale/lexus/lx/600/28500361,2026-04-15,95750,USD,95750,1,https://www.beforward.jp/ru/lexus/lx/ca274791/id/12359226/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,japan,1
porsche-cayenne-2019,Porsche,Cayenne,2019,suv,,medium,ZA,japan,verified-source-backed,2026-04-15,1215000,ZAR,1215000,1,https://www.autotrader.co.za/car-for-sale/porsche/cayenne/s/28181703,2026-04-15,48492,USD,48492,1,https://www.beforward.jp/porsche/cayenne/ca041179/id/12122871/,pending-licensed-image,false,Only one South Africa local-market listing is verified so far. | Only one source-market listing is verified so far. | No licensed image has been attached yet.,ZA,japan,1
byd-atto-3-2022,BYD,Atto 3,2022,suv,,high,,,research-pending,,,,,,,,,,,,,pending,false,"Needs verified source-market listing, local-market listing, and licensed image before promotion.",,,
byd-dolphin-2023,BYD,Dolphin,2023,hatchback,,high,,,research-pending,,,,,,,,,,,,,pending,false,"Needs verified source-market listing, local-market listing, and licensed image before promotion.",,,
