vehicle_id,make,make_slug,model,model_slug,year,year_bucket,body_type,fuel_types,transmissions,source_markets,candidate_priority,tags,blueprint_family,image_name,save_directory
honda-accord-2008,Honda,honda,Accord,accord,2008,old,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,high,sedan|popular,honda-accord,honda-accord-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2008/
honda-accord-2011,Honda,honda,Accord,accord,2011,old,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,high,sedan|popular,honda-accord,honda-accord-2011-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2011/
honda-accord-2016,Honda,honda,Accord,accord,2016,fairly_recent,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,high,sedan|popular,honda-accord,honda-accord-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2016/
honda-accord-2018,Honda,honda,Accord,accord,2018,fairly_recent,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,high,sedan|popular,honda-accord,honda-accord-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2018/
honda-accord-2020,Honda,honda,Accord,accord,2020,very_recent,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,high,sedan|popular,honda-accord,honda-accord-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2020/
honda-accord-2022,Honda,honda,Accord,accord,2022,very_recent,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,high,sedan|popular,honda-accord,honda-accord-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2022/
honda-civic-2004,Honda,honda,Civic,civic,2004,old,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,medium,sedan|value,honda-civic,honda-civic-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2004/
honda-civic-2007,Honda,honda,Civic,civic,2007,old,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,medium,sedan|value,honda-civic,honda-civic-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2007/
honda-civic-2010,Honda,honda,Civic,civic,2010,old,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,medium,sedan|value,honda-civic,honda-civic-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2010/
honda-civic-2013,Honda,honda,Civic,civic,2013,fairly_recent,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,medium,sedan|value,honda-civic,honda-civic-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2013/
honda-civic-2016,Honda,honda,Civic,civic,2016,fairly_recent,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,medium,sedan|value,honda-civic,honda-civic-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2016/
honda-civic-2019,Honda,honda,Civic,civic,2019,fairly_recent,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,medium,sedan|value,honda-civic,honda-civic-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2019/
honda-civic-2022,Honda,honda,Civic,civic,2022,very_recent,sedan,petrol,automatic|cvt,uae|uk|japan|local-dealer,medium,sedan|value,honda-civic,honda-civic-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2022/
honda-cr-v-2004,Honda,honda,CR-V,cr-v,2004,old,suv,petrol|hybrid,automatic|cvt,japan|uae|uk|local-dealer,high,suv|popular,honda-cr-v,honda-cr-v-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2004/
honda-cr-v-2007,Honda,honda,CR-V,cr-v,2007,old,suv,petrol|hybrid,automatic|cvt,japan|uae|uk|local-dealer,high,suv|popular,honda-cr-v,honda-cr-v-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2007/
honda-cr-v-2010,Honda,honda,CR-V,cr-v,2010,old,suv,petrol|hybrid,automatic|cvt,japan|uae|uk|local-dealer,high,suv|popular,honda-cr-v,honda-cr-v-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2010/
honda-cr-v-2013,Honda,honda,CR-V,cr-v,2013,fairly_recent,suv,petrol|hybrid,automatic|cvt,japan|uae|uk|local-dealer,high,suv|popular,honda-cr-v,honda-cr-v-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2013/
honda-cr-v-2018,Honda,honda,CR-V,cr-v,2018,fairly_recent,suv,petrol|hybrid,automatic|cvt,japan|uae|uk|local-dealer,high,suv|popular,honda-cr-v,honda-cr-v-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2018/
honda-cr-v-2023,Honda,honda,CR-V,cr-v,2023,very_recent,suv,petrol|hybrid,automatic|cvt,japan|uae|uk|local-dealer,high,suv|popular,honda-cr-v,honda-cr-v-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2023/
honda-fit-jazz-2005,Honda,honda,Fit / Jazz,fit-jazz,2005,old,hatchback,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,medium,city|hatchback,honda-fit-jazz,honda-fit-jazz-2005-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2005/
honda-fit-jazz-2008,Honda,honda,Fit / Jazz,fit-jazz,2008,old,hatchback,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,medium,city|hatchback,honda-fit-jazz,honda-fit-jazz-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2008/
honda-fit-jazz-2011,Honda,honda,Fit / Jazz,fit-jazz,2011,old,hatchback,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,medium,city|hatchback,honda-fit-jazz,honda-fit-jazz-2011-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2011/
honda-fit-jazz-2014,Honda,honda,Fit / Jazz,fit-jazz,2014,fairly_recent,hatchback,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,medium,city|hatchback,honda-fit-jazz,honda-fit-jazz-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2014/
honda-fit-jazz-2017,Honda,honda,Fit / Jazz,fit-jazz,2017,fairly_recent,hatchback,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,medium,city|hatchback,honda-fit-jazz,honda-fit-jazz-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2017/
honda-fit-jazz-2020,Honda,honda,Fit / Jazz,fit-jazz,2020,very_recent,hatchback,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,medium,city|hatchback,honda-fit-jazz,honda-fit-jazz-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2020/
honda-fit-jazz-2022,Honda,honda,Fit / Jazz,fit-jazz,2022,very_recent,hatchback,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,medium,city|hatchback,honda-fit-jazz,honda-fit-jazz-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2022/
honda-hr-v-vezel-2014,Honda,honda,HR-V / Vezel,hr-v-vezel,2014,fairly_recent,suv,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,medium,suv|city,honda-hr-v,honda-hr-v-vezel-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/hr-v-vezel/2014/
honda-hr-v-vezel-2016,Honda,honda,HR-V / Vezel,hr-v-vezel,2016,fairly_recent,suv,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,medium,suv|city,honda-hr-v,honda-hr-v-vezel-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/hr-v-vezel/2016/
honda-hr-v-vezel-2018,Honda,honda,HR-V / Vezel,hr-v-vezel,2018,fairly_recent,suv,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,medium,suv|city,honda-hr-v,honda-hr-v-vezel-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/hr-v-vezel/2018/
honda-hr-v-vezel-2020,Honda,honda,HR-V / Vezel,hr-v-vezel,2020,very_recent,suv,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,medium,suv|city,honda-hr-v,honda-hr-v-vezel-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/hr-v-vezel/2020/
honda-hr-v-vezel-2022,Honda,honda,HR-V / Vezel,hr-v-vezel,2022,very_recent,suv,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,medium,suv|city,honda-hr-v,honda-hr-v-vezel-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/hr-v-vezel/2022/
honda-hr-v-vezel-2024,Honda,honda,HR-V / Vezel,hr-v-vezel,2024,very_recent,suv,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,medium,suv|city,honda-hr-v,honda-hr-v-vezel-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/hr-v-vezel/2024/
hyundai-accent-2005,Hyundai,hyundai,Accent,accent,2005,old,sedan,petrol,automatic,uae|uk|local-dealer,medium,budget|sedan,hyundai-accent,hyundai-accent-2005-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2005/
hyundai-accent-2008,Hyundai,hyundai,Accent,accent,2008,old,sedan,petrol,automatic,uae|uk|local-dealer,medium,budget|sedan,hyundai-accent,hyundai-accent-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2008/
hyundai-accent-2011,Hyundai,hyundai,Accent,accent,2011,old,sedan,petrol,automatic,uae|uk|local-dealer,medium,budget|sedan,hyundai-accent,hyundai-accent-2011-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2011/
hyundai-accent-2014,Hyundai,hyundai,Accent,accent,2014,fairly_recent,sedan,petrol,automatic,uae|uk|local-dealer,medium,budget|sedan,hyundai-accent,hyundai-accent-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2014/
hyundai-accent-2017,Hyundai,hyundai,Accent,accent,2017,fairly_recent,sedan,petrol,automatic,uae|uk|local-dealer,medium,budget|sedan,hyundai-accent,hyundai-accent-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2017/
hyundai-accent-2020,Hyundai,hyundai,Accent,accent,2020,very_recent,sedan,petrol,automatic,uae|uk|local-dealer,medium,budget|sedan,hyundai-accent,hyundai-accent-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2020/
hyundai-accent-2023,Hyundai,hyundai,Accent,accent,2023,very_recent,sedan,petrol,automatic,uae|uk|local-dealer,medium,budget|sedan,hyundai-accent,hyundai-accent-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2023/
hyundai-elantra-2004,Hyundai,hyundai,Elantra,elantra,2004,old,sedan,petrol,automatic,uae|uk|south-africa|local-dealer,high,sedan|value,hyundai-elantra,hyundai-elantra-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2004/
hyundai-elantra-2007,Hyundai,hyundai,Elantra,elantra,2007,old,sedan,petrol,automatic,uae|uk|south-africa|local-dealer,high,sedan|value,hyundai-elantra,hyundai-elantra-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2007/
hyundai-elantra-2010,Hyundai,hyundai,Elantra,elantra,2010,old,sedan,petrol,automatic,uae|uk|south-africa|local-dealer,high,sedan|value,hyundai-elantra,hyundai-elantra-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2010/
hyundai-elantra-2013,Hyundai,hyundai,Elantra,elantra,2013,fairly_recent,sedan,petrol,automatic,uae|uk|south-africa|local-dealer,high,sedan|value,hyundai-elantra,hyundai-elantra-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2013/
hyundai-elantra-2016,Hyundai,hyundai,Elantra,elantra,2016,fairly_recent,sedan,petrol,automatic,uae|uk|south-africa|local-dealer,high,sedan|value,hyundai-elantra,hyundai-elantra-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2016/
hyundai-elantra-2020,Hyundai,hyundai,Elantra,elantra,2020,very_recent,sedan,petrol,automatic,uae|uk|south-africa|local-dealer,high,sedan|value,hyundai-elantra,hyundai-elantra-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2020/
hyundai-elantra-2023,Hyundai,hyundai,Elantra,elantra,2023,very_recent,sedan,petrol,automatic,uae|uk|south-africa|local-dealer,high,sedan|value,hyundai-elantra,hyundai-elantra-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2023/
hyundai-santa-fe-2004,Hyundai,hyundai,Santa Fe,santa-fe,2004,old,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|family,hyundai-santa-fe,hyundai-santa-fe-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2004/
hyundai-santa-fe-2007,Hyundai,hyundai,Santa Fe,santa-fe,2007,old,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|family,hyundai-santa-fe,hyundai-santa-fe-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2007/
hyundai-santa-fe-2010,Hyundai,hyundai,Santa Fe,santa-fe,2010,old,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|family,hyundai-santa-fe,hyundai-santa-fe-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2010/
hyundai-santa-fe-2013,Hyundai,hyundai,Santa Fe,santa-fe,2013,fairly_recent,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|family,hyundai-santa-fe,hyundai-santa-fe-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2013/
hyundai-santa-fe-2016,Hyundai,hyundai,Santa Fe,santa-fe,2016,fairly_recent,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|family,hyundai-santa-fe,hyundai-santa-fe-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2016/
hyundai-santa-fe-2019,Hyundai,hyundai,Santa Fe,santa-fe,2019,fairly_recent,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|family,hyundai-santa-fe,hyundai-santa-fe-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2019/
hyundai-santa-fe-2022,Hyundai,hyundai,Santa Fe,santa-fe,2022,very_recent,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|family,hyundai-santa-fe,hyundai-santa-fe-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2022/
hyundai-tucson-2006,Hyundai,hyundai,Tucson,tucson,2006,old,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|value,hyundai-tucson,hyundai-tucson-2006-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2006/
hyundai-tucson-2009,Hyundai,hyundai,Tucson,tucson,2009,old,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|value,hyundai-tucson,hyundai-tucson-2009-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2009/
hyundai-tucson-2012,Hyundai,hyundai,Tucson,tucson,2012,old,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|value,hyundai-tucson,hyundai-tucson-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2012/
hyundai-tucson-2015,Hyundai,hyundai,Tucson,tucson,2015,fairly_recent,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|value,hyundai-tucson,hyundai-tucson-2015-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2015/
hyundai-tucson-2018,Hyundai,hyundai,Tucson,tucson,2018,fairly_recent,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|value,hyundai-tucson,hyundai-tucson-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2018/
hyundai-tucson-2020,Hyundai,hyundai,Tucson,tucson,2020,very_recent,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|value,hyundai-tucson,hyundai-tucson-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2020/
hyundai-tucson-2023,Hyundai,hyundai,Tucson,tucson,2023,very_recent,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|value,hyundai-tucson,hyundai-tucson-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2023/
kia-picanto-morning-2008,Kia,kia,Picanto / Morning,picanto-morning,2008,old,hatchback,petrol,automatic,uk|south-africa|local-dealer,medium,city|budget,kia-picanto,kia-picanto-morning-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/picanto-morning/2008/
kia-picanto-morning-2011,Kia,kia,Picanto / Morning,picanto-morning,2011,old,hatchback,petrol,automatic,uk|south-africa|local-dealer,medium,city|budget,kia-picanto,kia-picanto-morning-2011-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/picanto-morning/2011/
kia-picanto-morning-2014,Kia,kia,Picanto / Morning,picanto-morning,2014,fairly_recent,hatchback,petrol,automatic,uk|south-africa|local-dealer,medium,city|budget,kia-picanto,kia-picanto-morning-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/picanto-morning/2014/
kia-picanto-morning-2017,Kia,kia,Picanto / Morning,picanto-morning,2017,fairly_recent,hatchback,petrol,automatic,uk|south-africa|local-dealer,medium,city|budget,kia-picanto,kia-picanto-morning-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/picanto-morning/2017/
kia-picanto-morning-2020,Kia,kia,Picanto / Morning,picanto-morning,2020,very_recent,hatchback,petrol,automatic,uk|south-africa|local-dealer,medium,city|budget,kia-picanto,kia-picanto-morning-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/picanto-morning/2020/
kia-picanto-morning-2023,Kia,kia,Picanto / Morning,picanto-morning,2023,very_recent,hatchback,petrol,automatic,uk|south-africa|local-dealer,medium,city|budget,kia-picanto,kia-picanto-morning-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/picanto-morning/2023/
kia-rio-2006,Kia,kia,Rio,rio,2006,old,sedan,petrol,automatic,uae|uk|south-africa|local-dealer,medium,sedan|budget,kia-rio,kia-rio-2006-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/rio/2006/
kia-rio-2009,Kia,kia,Rio,rio,2009,old,sedan,petrol,automatic,uae|uk|south-africa|local-dealer,medium,sedan|budget,kia-rio,kia-rio-2009-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/rio/2009/
kia-rio-2012,Kia,kia,Rio,rio,2012,old,sedan,petrol,automatic,uae|uk|south-africa|local-dealer,medium,sedan|budget,kia-rio,kia-rio-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/rio/2012/
kia-rio-2015,Kia,kia,Rio,rio,2015,fairly_recent,sedan,petrol,automatic,uae|uk|south-africa|local-dealer,medium,sedan|budget,kia-rio,kia-rio-2015-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/rio/2015/
kia-rio-2018,Kia,kia,Rio,rio,2018,fairly_recent,sedan,petrol,automatic,uae|uk|south-africa|local-dealer,medium,sedan|budget,kia-rio,kia-rio-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/rio/2018/
kia-rio-2021,Kia,kia,Rio,rio,2021,very_recent,sedan,petrol,automatic,uae|uk|south-africa|local-dealer,medium,sedan|budget,kia-rio,kia-rio-2021-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/rio/2021/
kia-sorento-2004,Kia,kia,Sorento,sorento,2004,old,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|family,kia-sorento,kia-sorento-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sorento/2004/
kia-sorento-2007,Kia,kia,Sorento,sorento,2007,old,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|family,kia-sorento,kia-sorento-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sorento/2007/
kia-sorento-2010,Kia,kia,Sorento,sorento,2010,old,suv,petrol|diesel,automatic,uae|uk|south-africa|local-dealer,medium,suv|family,kia-sorento,kia-sorento-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sorento/2010/
