vehicle_id,make,model,year,body_type,image_name,save_directory
ford-ranger-2023,Ford,Ranger,2023,pickup,ford-ranger-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/ranger/2023/
honda-accord-2003,Honda,Accord,2003,sedan,honda-accord-2003-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2003/
honda-accord-2005,Honda,Accord,2005,sedan,honda-accord-2005-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2005/
honda-accord-2008,Honda,Accord,2008,sedan,honda-accord-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2008/
honda-accord-2011,Honda,Accord,2011,sedan,honda-accord-2011-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2011/
honda-accord-2016,Honda,Accord,2016,sedan,honda-accord-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2016/
honda-accord-2018,Honda,Accord,2018,sedan,honda-accord-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2018/
honda-accord-2020,Honda,Accord,2020,sedan,honda-accord-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2020/
honda-accord-2022,Honda,Accord,2022,sedan,honda-accord-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2022/
honda-civic-2004,Honda,Civic,2004,sedan,honda-civic-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2004/
honda-civic-2007,Honda,Civic,2007,sedan,honda-civic-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2007/
honda-civic-2010,Honda,Civic,2010,sedan,honda-civic-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2010/
honda-civic-2013,Honda,Civic,2013,sedan,honda-civic-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2013/
honda-civic-2016,Honda,Civic,2016,sedan,honda-civic-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2016/
honda-civic-2019,Honda,Civic,2019,sedan,honda-civic-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2019/
honda-civic-2022,Honda,Civic,2022,sedan,honda-civic-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/civic/2022/
honda-cr-v-2004,Honda,CR-V,2004,suv,honda-cr-v-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2004/
honda-cr-v-2007,Honda,CR-V,2007,suv,honda-cr-v-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2007/
honda-cr-v-2010,Honda,CR-V,2010,suv,honda-cr-v-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2010/
honda-cr-v-2013,Honda,CR-V,2013,suv,honda-cr-v-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2013/
honda-cr-v-2018,Honda,CR-V,2018,suv,honda-cr-v-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2018/
honda-cr-v-2023,Honda,CR-V,2023,suv,honda-cr-v-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2023/
honda-fit-jazz-2005,Honda,Fit / Jazz,2005,hatchback,honda-fit-jazz-2005-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2005/
honda-fit-jazz-2008,Honda,Fit / Jazz,2008,hatchback,honda-fit-jazz-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2008/
honda-fit-jazz-2011,Honda,Fit / Jazz,2011,hatchback,honda-fit-jazz-2011-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2011/
honda-fit-jazz-2014,Honda,Fit / Jazz,2014,hatchback,honda-fit-jazz-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2014/
honda-fit-jazz-2017,Honda,Fit / Jazz,2017,hatchback,honda-fit-jazz-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2017/
honda-fit-jazz-2020,Honda,Fit / Jazz,2020,hatchback,honda-fit-jazz-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2020/
honda-fit-jazz-2022,Honda,Fit / Jazz,2022,hatchback,honda-fit-jazz-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/fit-jazz/2022/
honda-hr-v-vezel-2014,Honda,HR-V / Vezel,2014,suv,honda-hr-v-vezel-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/hr-v-vezel/2014/
honda-hr-v-vezel-2016,Honda,HR-V / Vezel,2016,suv,honda-hr-v-vezel-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/hr-v-vezel/2016/
honda-hr-v-vezel-2018,Honda,HR-V / Vezel,2018,suv,honda-hr-v-vezel-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/hr-v-vezel/2018/
honda-hr-v-vezel-2020,Honda,HR-V / Vezel,2020,suv,honda-hr-v-vezel-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/hr-v-vezel/2020/
honda-hr-v-vezel-2022,Honda,HR-V / Vezel,2022,suv,honda-hr-v-vezel-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/hr-v-vezel/2022/
honda-hr-v-vezel-2024,Honda,HR-V / Vezel,2024,suv,honda-hr-v-vezel-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/hr-v-vezel/2024/
hyundai-accent-2005,Hyundai,Accent,2005,sedan,hyundai-accent-2005-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2005/
hyundai-accent-2008,Hyundai,Accent,2008,sedan,hyundai-accent-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2008/
hyundai-accent-2011,Hyundai,Accent,2011,sedan,hyundai-accent-2011-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2011/
hyundai-accent-2014,Hyundai,Accent,2014,sedan,hyundai-accent-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2014/
hyundai-accent-2017,Hyundai,Accent,2017,sedan,hyundai-accent-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2017/
hyundai-accent-2020,Hyundai,Accent,2020,sedan,hyundai-accent-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2020/
hyundai-accent-2023,Hyundai,Accent,2023,sedan,hyundai-accent-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/accent/2023/
hyundai-elantra-2004,Hyundai,Elantra,2004,sedan,hyundai-elantra-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2004/
hyundai-elantra-2007,Hyundai,Elantra,2007,sedan,hyundai-elantra-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2007/
hyundai-elantra-2010,Hyundai,Elantra,2010,sedan,hyundai-elantra-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2010/
hyundai-elantra-2013,Hyundai,Elantra,2013,sedan,hyundai-elantra-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2013/
hyundai-elantra-2016,Hyundai,Elantra,2016,sedan,hyundai-elantra-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2016/
hyundai-elantra-2020,Hyundai,Elantra,2020,sedan,hyundai-elantra-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2020/
hyundai-elantra-2023,Hyundai,Elantra,2023,sedan,hyundai-elantra-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2023/
hyundai-santa-fe-2004,Hyundai,Santa Fe,2004,suv,hyundai-santa-fe-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2004/
hyundai-santa-fe-2007,Hyundai,Santa Fe,2007,suv,hyundai-santa-fe-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2007/
hyundai-santa-fe-2010,Hyundai,Santa Fe,2010,suv,hyundai-santa-fe-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2010/
hyundai-santa-fe-2013,Hyundai,Santa Fe,2013,suv,hyundai-santa-fe-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2013/
hyundai-santa-fe-2016,Hyundai,Santa Fe,2016,suv,hyundai-santa-fe-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2016/
hyundai-santa-fe-2019,Hyundai,Santa Fe,2019,suv,hyundai-santa-fe-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2019/
hyundai-santa-fe-2022,Hyundai,Santa Fe,2022,suv,hyundai-santa-fe-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/santa-fe/2022/
hyundai-tucson-2006,Hyundai,Tucson,2006,suv,hyundai-tucson-2006-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2006/
hyundai-tucson-2009,Hyundai,Tucson,2009,suv,hyundai-tucson-2009-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2009/
hyundai-tucson-2012,Hyundai,Tucson,2012,suv,hyundai-tucson-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2012/
hyundai-tucson-2015,Hyundai,Tucson,2015,suv,hyundai-tucson-2015-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2015/
hyundai-tucson-2018,Hyundai,Tucson,2018,suv,hyundai-tucson-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2018/
hyundai-tucson-2020,Hyundai,Tucson,2020,suv,hyundai-tucson-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2020/
hyundai-tucson-2023,Hyundai,Tucson,2023,suv,hyundai-tucson-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/tucson/2023/
kia-picanto-morning-2008,Kia,Picanto / Morning,2008,hatchback,kia-picanto-morning-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/picanto-morning/2008/
kia-picanto-morning-2011,Kia,Picanto / Morning,2011,hatchback,kia-picanto-morning-2011-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/picanto-morning/2011/
kia-picanto-morning-2014,Kia,Picanto / Morning,2014,hatchback,kia-picanto-morning-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/picanto-morning/2014/
kia-picanto-morning-2017,Kia,Picanto / Morning,2017,hatchback,kia-picanto-morning-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/picanto-morning/2017/
kia-picanto-morning-2020,Kia,Picanto / Morning,2020,hatchback,kia-picanto-morning-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/picanto-morning/2020/
kia-picanto-morning-2023,Kia,Picanto / Morning,2023,hatchback,kia-picanto-morning-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/picanto-morning/2023/
kia-rio-2006,Kia,Rio,2006,sedan,kia-rio-2006-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/rio/2006/
kia-rio-2009,Kia,Rio,2009,sedan,kia-rio-2009-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/rio/2009/
kia-rio-2012,Kia,Rio,2012,sedan,kia-rio-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/rio/2012/
kia-rio-2015,Kia,Rio,2015,sedan,kia-rio-2015-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/rio/2015/
kia-rio-2018,Kia,Rio,2018,sedan,kia-rio-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/rio/2018/
kia-rio-2021,Kia,Rio,2021,sedan,kia-rio-2021-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/rio/2021/
kia-sorento-2004,Kia,Sorento,2004,suv,kia-sorento-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sorento/2004/
kia-sorento-2007,Kia,Sorento,2007,suv,kia-sorento-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sorento/2007/
kia-sorento-2010,Kia,Sorento,2010,suv,kia-sorento-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sorento/2010/
kia-sorento-2013,Kia,Sorento,2013,suv,kia-sorento-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sorento/2013/
kia-sorento-2016,Kia,Sorento,2016,suv,kia-sorento-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sorento/2016/
kia-sorento-2019,Kia,Sorento,2019,suv,kia-sorento-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sorento/2019/
kia-sorento-2022,Kia,Sorento,2022,suv,kia-sorento-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sorento/2022/
kia-sportage-2005,Kia,Sportage,2005,suv,kia-sportage-2005-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sportage/2005/
kia-sportage-2008,Kia,Sportage,2008,suv,kia-sportage-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sportage/2008/
kia-sportage-2011,Kia,Sportage,2011,suv,kia-sportage-2011-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sportage/2011/
kia-sportage-2014,Kia,Sportage,2014,suv,kia-sportage-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sportage/2014/
kia-sportage-2020,Kia,Sportage,2020,suv,kia-sportage-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sportage/2020/
kia-sportage-2023,Kia,Sportage,2023,suv,kia-sportage-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sportage/2023/
lexus-es-2004,Lexus,ES,2004,sedan,lexus-es-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/es/2004/
lexus-es-2007,Lexus,ES,2007,sedan,lexus-es-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/es/2007/
lexus-es-2010,Lexus,ES,2010,sedan,lexus-es-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/es/2010/
lexus-es-2013,Lexus,ES,2013,sedan,lexus-es-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/es/2013/
lexus-es-2018,Lexus,ES,2018,sedan,lexus-es-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/es/2018/
lexus-es-2021,Lexus,ES,2021,sedan,lexus-es-2021-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/es/2021/
lexus-es-2023,Lexus,ES,2023,sedan,lexus-es-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/es/2023/
lexus-gx-2004,Lexus,GX,2004,suv,lexus-gx-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/gx/2004/
lexus-gx-2008,Lexus,GX,2008,suv,lexus-gx-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/gx/2008/
lexus-gx-2010,Lexus,GX,2010,suv,lexus-gx-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/gx/2010/
lexus-gx-2014,Lexus,GX,2014,suv,lexus-gx-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/gx/2014/
lexus-gx-2017,Lexus,GX,2017,suv,lexus-gx-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/gx/2017/
lexus-gx-2020,Lexus,GX,2020,suv,lexus-gx-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/gx/2020/
lexus-gx-2023,Lexus,GX,2023,suv,lexus-gx-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/gx/2023/
lexus-nx-2015,Lexus,NX,2015,suv,lexus-nx-2015-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/nx/2015/
lexus-nx-2017,Lexus,NX,2017,suv,lexus-nx-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/nx/2017/
lexus-nx-2019,Lexus,NX,2019,suv,lexus-nx-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/nx/2019/
lexus-nx-2021,Lexus,NX,2021,suv,lexus-nx-2021-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/nx/2021/
lexus-nx-2023,Lexus,NX,2023,suv,lexus-nx-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/nx/2023/
lexus-rx-2004,Lexus,RX,2004,suv,lexus-rx-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/rx/2004/
lexus-rx-2007,Lexus,RX,2007,suv,lexus-rx-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/rx/2007/
lexus-rx-2010,Lexus,RX,2010,suv,lexus-rx-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/rx/2010/
lexus-rx-2013,Lexus,RX,2013,suv,lexus-rx-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/rx/2013/
lexus-rx-2016,Lexus,RX,2016,suv,lexus-rx-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/rx/2016/
lexus-rx-2018,Lexus,RX,2018,suv,lexus-rx-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/rx/2018/
lexus-rx-2020,Lexus,RX,2020,suv,lexus-rx-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/rx/2020/
lexus-rx-2022,Lexus,RX,2022,suv,lexus-rx-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/rx/2022/
mazda-atenza-mazda-6-2005,Mazda,Atenza / Mazda 6,2005,sedan,mazda-atenza-mazda-6-2005-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/atenza-mazda-6/2005/
mazda-atenza-mazda-6-2008,Mazda,Atenza / Mazda 6,2008,sedan,mazda-atenza-mazda-6-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/atenza-mazda-6/2008/
mazda-atenza-mazda-6-2011,Mazda,Atenza / Mazda 6,2011,sedan,mazda-atenza-mazda-6-2011-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/atenza-mazda-6/2011/
mazda-atenza-mazda-6-2014,Mazda,Atenza / Mazda 6,2014,sedan,mazda-atenza-mazda-6-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/atenza-mazda-6/2014/
mazda-atenza-mazda-6-2017,Mazda,Atenza / Mazda 6,2017,sedan,mazda-atenza-mazda-6-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/atenza-mazda-6/2017/
mazda-atenza-mazda-6-2020,Mazda,Atenza / Mazda 6,2020,sedan,mazda-atenza-mazda-6-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/atenza-mazda-6/2020/
mazda-bt-50-2008,Mazda,BT-50,2008,pickup,mazda-bt-50-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/bt-50/2008/
mazda-bt-50-2012,Mazda,BT-50,2012,pickup,mazda-bt-50-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/bt-50/2012/
mazda-bt-50-2015,Mazda,BT-50,2015,pickup,mazda-bt-50-2015-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/bt-50/2015/
mazda-bt-50-2018,Mazda,BT-50,2018,pickup,mazda-bt-50-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/bt-50/2018/
mazda-bt-50-2021,Mazda,BT-50,2021,pickup,mazda-bt-50-2021-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/bt-50/2021/
mazda-bt-50-2024,Mazda,BT-50,2024,pickup,mazda-bt-50-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/bt-50/2024/
mazda-cx-5-2012,Mazda,CX-5,2012,suv,mazda-cx-5-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/cx-5/2012/
mazda-cx-5-2014,Mazda,CX-5,2014,suv,mazda-cx-5-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/cx-5/2014/
mazda-cx-5-2016,Mazda,CX-5,2016,suv,mazda-cx-5-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/cx-5/2016/
mazda-cx-5-2018,Mazda,CX-5,2018,suv,mazda-cx-5-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/cx-5/2018/
mazda-cx-5-2020,Mazda,CX-5,2020,suv,mazda-cx-5-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/cx-5/2020/
mazda-cx-5-2022,Mazda,CX-5,2022,suv,mazda-cx-5-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/cx-5/2022/
mazda-cx-5-2024,Mazda,CX-5,2024,suv,mazda-cx-5-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/cx-5/2024/
mazda-demio-2005,Mazda,Demio / Mazda 2,2005,hatchback,mazda-demio-2005-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/demio/2005/
mazda-demio-2008,Mazda,Demio / Mazda 2,2008,hatchback,mazda-demio-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/demio/2008/
mazda-demio-2011,Mazda,Demio / Mazda 2,2011,hatchback,mazda-demio-2011-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/demio/2011/
mazda-demio-2014,Mazda,Demio / Mazda 2,2014,hatchback,mazda-demio-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/demio/2014/
mazda-demio-2020,Mazda,Demio / Mazda 2,2020,hatchback,mazda-demio-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/demio/2020/
mazda-demio-2022,Mazda,Demio / Mazda 2,2022,hatchback,mazda-demio-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/demio/2022/
mercedes-benz-c-class-2004,Mercedes-Benz,C-Class,2004,sedan,mercedes-benz-c-class-2004-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/c-class/2004/
mercedes-benz-c-class-2007,Mercedes-Benz,C-Class,2007,sedan,mercedes-benz-c-class-2007-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/c-class/2007/
mercedes-benz-c-class-2010,Mercedes-Benz,C-Class,2010,sedan,mercedes-benz-c-class-2010-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/c-class/2010/
