set,familyId,familyType,confidence,sequence,sourceRoute,proposedFrenchRoute,executionWindow
"Set 127","tools::car-insurance","tools","A","15","tools/car-insurance/dr-congo","/fr/tools/assurance-auto/dr-congo","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","16","tools/car-insurance/egypt","/fr/tools/assurance-auto/egypt","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","17","tools/car-insurance/equatorial-guinea","/fr/tools/assurance-auto/equatorial-guinea","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","18","tools/car-insurance/eritrea","/fr/tools/assurance-auto/eritrea","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","19","tools/car-insurance/eswatini","/fr/tools/assurance-auto/eswatini","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","20","tools/car-insurance/ethiopia","/fr/tools/assurance-auto/ethiopia","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","21","tools/car-insurance/gabon","/fr/tools/assurance-auto/gabon","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","22","tools/car-insurance/gambia","/fr/tools/assurance-auto/gambia","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","23","tools/car-insurance/ghana","/fr/tools/assurance-auto/ghana","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","24","tools/car-insurance/guinea","/fr/tools/assurance-auto/guinea","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","25","tools/car-insurance/guinea-bissau","/fr/tools/assurance-auto/guinea-bissau","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","26","tools/car-insurance/kenya","/fr/tools/assurance-auto/kenya","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","27","tools/car-insurance/lesotho","/fr/tools/assurance-auto/lesotho","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","28","tools/car-insurance/liberia","/fr/tools/assurance-auto/liberia","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","29","tools/car-insurance/libya","/fr/tools/assurance-auto/libya","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","30","tools/car-insurance/madagascar","/fr/tools/assurance-auto/madagascar","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","31","tools/car-insurance/malawi","/fr/tools/assurance-auto/malawi","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","32","tools/car-insurance/mali","/fr/tools/assurance-auto/mali","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","33","tools/car-insurance/mauritania","/fr/tools/assurance-auto/mauritania","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","34","tools/car-insurance/mauritius","/fr/tools/assurance-auto/mauritius","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","35","tools/car-insurance/morocco","/fr/tools/assurance-auto/morocco","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","36","tools/car-insurance/mozambique","/fr/tools/assurance-auto/mozambique","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","37","tools/car-insurance/namibia","/fr/tools/assurance-auto/namibia","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","38","tools/car-insurance/niger","/fr/tools/assurance-auto/niger","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","39","tools/car-insurance/nigeria","/fr/tools/assurance-auto/nigeria","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","40","tools/car-insurance/rwanda","/fr/tools/assurance-auto/rwanda","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","41","tools/car-insurance/sao-tome-and-principe","/fr/tools/assurance-auto/sao-tome-and-principe","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","42","tools/car-insurance/senegal","/fr/tools/assurance-auto/senegal","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","43","tools/car-insurance/seychelles","/fr/tools/assurance-auto/seychelles","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","44","tools/car-insurance/sierra-leone","/fr/tools/assurance-auto/sierra-leone","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","45","tools/car-insurance/somalia","/fr/tools/assurance-auto/somalia","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","46","tools/car-insurance/south-africa","/fr/tools/assurance-auto/south-africa","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","47","tools/car-insurance/south-sudan","/fr/tools/assurance-auto/south-sudan","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","48","tools/car-insurance/sudan","/fr/tools/assurance-auto/sudan","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","49","tools/car-insurance/tanzania","/fr/tools/assurance-auto/tanzania","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","50","tools/car-insurance/togo","/fr/tools/assurance-auto/togo","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","51","tools/car-insurance/tunisia","/fr/tools/assurance-auto/tunisia","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","52","tools/car-insurance/uganda","/fr/tools/assurance-auto/uganda","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","53","tools/car-insurance/zambia","/fr/tools/assurance-auto/zambia","immediate-top-150"
"Set 127","tools::car-insurance","tools","A","54","tools/car-insurance/zimbabwe","/fr/tools/assurance-auto/zimbabwe","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","55","tools/electricity-tariff/algeria","/fr/tools/tarifs-electricite/algeria","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","56","tools/electricity-tariff/angola","/fr/tools/tarifs-electricite/angola","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","57","tools/electricity-tariff/benin","/fr/tools/tarifs-electricite/benin","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","58","tools/electricity-tariff/botswana","/fr/tools/tarifs-electricite/botswana","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","59","tools/electricity-tariff/burkina-faso","/fr/tools/tarifs-electricite/burkina-faso","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","60","tools/electricity-tariff/burundi","/fr/tools/tarifs-electricite/burundi","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","61","tools/electricity-tariff/cameroon","/fr/tools/tarifs-electricite/cameroon","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","62","tools/electricity-tariff/cape-verde","/fr/tools/tarifs-electricite/cape-verde","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","63","tools/electricity-tariff/central-african-republic","/fr/tools/tarifs-electricite/central-african-republic","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","64","tools/electricity-tariff/chad","/fr/tools/tarifs-electricite/chad","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","65","tools/electricity-tariff/comoros","/fr/tools/tarifs-electricite/comoros","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","66","tools/electricity-tariff/cote-divoire","/fr/tools/tarifs-electricite/cote-divoire","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","67","tools/electricity-tariff/djibouti","/fr/tools/tarifs-electricite/djibouti","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","68","tools/electricity-tariff/dr-congo","/fr/tools/tarifs-electricite/dr-congo","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","69","tools/electricity-tariff/egypt","/fr/tools/tarifs-electricite/egypt","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","70","tools/electricity-tariff/equatorial-guinea","/fr/tools/tarifs-electricite/equatorial-guinea","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","71","tools/electricity-tariff/eritrea","/fr/tools/tarifs-electricite/eritrea","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","72","tools/electricity-tariff/eswatini","/fr/tools/tarifs-electricite/eswatini","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","73","tools/electricity-tariff/ethiopia","/fr/tools/tarifs-electricite/ethiopia","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","74","tools/electricity-tariff/gabon","/fr/tools/tarifs-electricite/gabon","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","75","tools/electricity-tariff/gambia","/fr/tools/tarifs-electricite/gambia","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","76","tools/electricity-tariff/ghana","/fr/tools/tarifs-electricite/ghana","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","77","tools/electricity-tariff/guinea","/fr/tools/tarifs-electricite/guinea","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","78","tools/electricity-tariff/guinea-bissau","/fr/tools/tarifs-electricite/guinea-bissau","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","79","tools/electricity-tariff/kenya","/fr/tools/tarifs-electricite/kenya","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","80","tools/electricity-tariff/lesotho","/fr/tools/tarifs-electricite/lesotho","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","81","tools/electricity-tariff/liberia","/fr/tools/tarifs-electricite/liberia","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","82","tools/electricity-tariff/libya","/fr/tools/tarifs-electricite/libya","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","83","tools/electricity-tariff/madagascar","/fr/tools/tarifs-electricite/madagascar","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","84","tools/electricity-tariff/malawi","/fr/tools/tarifs-electricite/malawi","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","85","tools/electricity-tariff/mali","/fr/tools/tarifs-electricite/mali","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","86","tools/electricity-tariff/mauritania","/fr/tools/tarifs-electricite/mauritania","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","87","tools/electricity-tariff/mauritius","/fr/tools/tarifs-electricite/mauritius","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","88","tools/electricity-tariff/morocco","/fr/tools/tarifs-electricite/morocco","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","89","tools/electricity-tariff/mozambique","/fr/tools/tarifs-electricite/mozambique","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","90","tools/electricity-tariff/namibia","/fr/tools/tarifs-electricite/namibia","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","91","tools/electricity-tariff/niger","/fr/tools/tarifs-electricite/niger","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","92","tools/electricity-tariff/nigeria","/fr/tools/tarifs-electricite/nigeria","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","93","tools/electricity-tariff/republic-of-congo","/fr/tools/tarifs-electricite/republic-of-congo","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","94","tools/electricity-tariff/rwanda","/fr/tools/tarifs-electricite/rwanda","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","95","tools/electricity-tariff/sao-tome","/fr/tools/tarifs-electricite/sao-tome","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","96","tools/electricity-tariff/senegal","/fr/tools/tarifs-electricite/senegal","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","97","tools/electricity-tariff/seychelles","/fr/tools/tarifs-electricite/seychelles","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","98","tools/electricity-tariff/sierra-leone","/fr/tools/tarifs-electricite/sierra-leone","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","99","tools/electricity-tariff/somalia","/fr/tools/tarifs-electricite/somalia","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","100","tools/electricity-tariff/south-africa","/fr/tools/tarifs-electricite/south-africa","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","101","tools/electricity-tariff/south-sudan","/fr/tools/tarifs-electricite/south-sudan","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","102","tools/electricity-tariff/sudan","/fr/tools/tarifs-electricite/sudan","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","103","tools/electricity-tariff/tanzania","/fr/tools/tarifs-electricite/tanzania","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","104","tools/electricity-tariff/togo","/fr/tools/tarifs-electricite/togo","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","105","tools/electricity-tariff/tunisia","/fr/tools/tarifs-electricite/tunisia","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","106","tools/electricity-tariff/uganda","/fr/tools/tarifs-electricite/uganda","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","107","tools/electricity-tariff/zambia","/fr/tools/tarifs-electricite/zambia","immediate-top-150"
"Set 128","tools::electricity-tariff","tools","A","108","tools/electricity-tariff/zimbabwe","/fr/tools/tarifs-electricite/zimbabwe","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","109","tools/employment-contract/algeria","/fr/tools/contrat-travail/algeria","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","110","tools/employment-contract/angola","/fr/tools/contrat-travail/angola","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","111","tools/employment-contract/benin","/fr/tools/contrat-travail/benin","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","112","tools/employment-contract/botswana","/fr/tools/contrat-travail/botswana","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","113","tools/employment-contract/burkina-faso","/fr/tools/contrat-travail/burkina-faso","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","114","tools/employment-contract/burundi","/fr/tools/contrat-travail/burundi","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","115","tools/employment-contract/cabo-verde","/fr/tools/contrat-travail/cabo-verde","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","116","tools/employment-contract/cameroon","/fr/tools/contrat-travail/cameroon","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","117","tools/employment-contract/central-african-republic","/fr/tools/contrat-travail/central-african-republic","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","118","tools/employment-contract/chad","/fr/tools/contrat-travail/chad","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","119","tools/employment-contract/comoros","/fr/tools/contrat-travail/comoros","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","120","tools/employment-contract/congo-brazzaville","/fr/tools/contrat-travail/congo-brazzaville","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","121","tools/employment-contract/cote-d-ivoire","/fr/tools/contrat-travail/cote-d-ivoire","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","122","tools/employment-contract/djibouti","/fr/tools/contrat-travail/djibouti","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","123","tools/employment-contract/dr-congo","/fr/tools/contrat-travail/dr-congo","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","124","tools/employment-contract/egypt","/fr/tools/contrat-travail/egypt","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","125","tools/employment-contract/equatorial-guinea","/fr/tools/contrat-travail/equatorial-guinea","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","126","tools/employment-contract/eritrea","/fr/tools/contrat-travail/eritrea","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","127","tools/employment-contract/eswatini","/fr/tools/contrat-travail/eswatini","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","128","tools/employment-contract/ethiopia","/fr/tools/contrat-travail/ethiopia","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","129","tools/employment-contract/gabon","/fr/tools/contrat-travail/gabon","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","130","tools/employment-contract/gambia","/fr/tools/contrat-travail/gambia","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","131","tools/employment-contract/ghana","/fr/tools/contrat-travail/ghana","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","132","tools/employment-contract/guinea","/fr/tools/contrat-travail/guinea","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","133","tools/employment-contract/guinea-bissau","/fr/tools/contrat-travail/guinea-bissau","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","134","tools/employment-contract/kenya","/fr/tools/contrat-travail/kenya","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","135","tools/employment-contract/lesotho","/fr/tools/contrat-travail/lesotho","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","136","tools/employment-contract/liberia","/fr/tools/contrat-travail/liberia","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","137","tools/employment-contract/libya","/fr/tools/contrat-travail/libya","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","138","tools/employment-contract/madagascar","/fr/tools/contrat-travail/madagascar","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","139","tools/employment-contract/malawi","/fr/tools/contrat-travail/malawi","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","140","tools/employment-contract/mali","/fr/tools/contrat-travail/mali","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","141","tools/employment-contract/mauritania","/fr/tools/contrat-travail/mauritania","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","142","tools/employment-contract/mauritius","/fr/tools/contrat-travail/mauritius","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","143","tools/employment-contract/morocco","/fr/tools/contrat-travail/morocco","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","144","tools/employment-contract/mozambique","/fr/tools/contrat-travail/mozambique","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","145","tools/employment-contract/namibia","/fr/tools/contrat-travail/namibia","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","146","tools/employment-contract/niger","/fr/tools/contrat-travail/niger","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","147","tools/employment-contract/nigeria","/fr/tools/contrat-travail/nigeria","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","148","tools/employment-contract/rwanda","/fr/tools/contrat-travail/rwanda","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","149","tools/employment-contract/sao-tome-and-principe","/fr/tools/contrat-travail/sao-tome-and-principe","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","150","tools/employment-contract/senegal","/fr/tools/contrat-travail/senegal","immediate-top-150"
"Set 129","tools::employment-contract","tools","A","151","tools/employment-contract/seychelles","/fr/tools/contrat-travail/seychelles","queue"
"Set 129","tools::employment-contract","tools","A","152","tools/employment-contract/sierra-leone","/fr/tools/contrat-travail/sierra-leone","queue"
"Set 129","tools::employment-contract","tools","A","153","tools/employment-contract/somalia","/fr/tools/contrat-travail/somalia","queue"
"Set 129","tools::employment-contract","tools","A","154","tools/employment-contract/south-africa","/fr/tools/contrat-travail/south-africa","queue"
"Set 129","tools::employment-contract","tools","A","155","tools/employment-contract/south-sudan","/fr/tools/contrat-travail/south-sudan","queue"
"Set 129","tools::employment-contract","tools","A","156","tools/employment-contract/sudan","/fr/tools/contrat-travail/sudan","queue"
"Set 129","tools::employment-contract","tools","A","157","tools/employment-contract/tanzania","/fr/tools/contrat-travail/tanzania","queue"
"Set 129","tools::employment-contract","tools","A","158","tools/employment-contract/togo","/fr/tools/contrat-travail/togo","queue"
"Set 129","tools::employment-contract","tools","A","159","tools/employment-contract/tunisia","/fr/tools/contrat-travail/tunisia","queue"
"Set 129","tools::employment-contract","tools","A","160","tools/employment-contract/uganda","/fr/tools/contrat-travail/uganda","queue"
"Set 129","tools::employment-contract","tools","A","161","tools/employment-contract/zambia","/fr/tools/contrat-travail/zambia","queue"
"Set 129","tools::employment-contract","tools","A","162","tools/employment-contract/zimbabwe","/fr/tools/contrat-travail/zimbabwe","queue"
"Set 130","tools::fuel-tracker","tools","A","163","tools/fuel-tracker/algeria","/fr/tools/suivi-carburant/algeria","queue"
"Set 130","tools::fuel-tracker","tools","A","164","tools/fuel-tracker/angola","/fr/tools/suivi-carburant/angola","queue"
"Set 130","tools::fuel-tracker","tools","A","165","tools/fuel-tracker/benin","/fr/tools/suivi-carburant/benin","queue"
"Set 130","tools::fuel-tracker","tools","A","166","tools/fuel-tracker/botswana","/fr/tools/suivi-carburant/botswana","queue"
"Set 130","tools::fuel-tracker","tools","A","167","tools/fuel-tracker/burkina-faso","/fr/tools/suivi-carburant/burkina-faso","queue"
"Set 130","tools::fuel-tracker","tools","A","168","tools/fuel-tracker/burundi","/fr/tools/suivi-carburant/burundi","queue"
"Set 130","tools::fuel-tracker","tools","A","169","tools/fuel-tracker/cabo-verde","/fr/tools/suivi-carburant/cabo-verde","queue"
"Set 130","tools::fuel-tracker","tools","A","170","tools/fuel-tracker/cameroon","/fr/tools/suivi-carburant/cameroon","queue"
"Set 130","tools::fuel-tracker","tools","A","171","tools/fuel-tracker/central-african-republic","/fr/tools/suivi-carburant/central-african-republic","queue"
"Set 130","tools::fuel-tracker","tools","A","172","tools/fuel-tracker/chad","/fr/tools/suivi-carburant/chad","queue"
"Set 130","tools::fuel-tracker","tools","A","173","tools/fuel-tracker/comoros","/fr/tools/suivi-carburant/comoros","queue"
"Set 130","tools::fuel-tracker","tools","A","174","tools/fuel-tracker/congo","/fr/tools/suivi-carburant/congo","queue"
"Set 130","tools::fuel-tracker","tools","A","175","tools/fuel-tracker/cote-divoire","/fr/tools/suivi-carburant/cote-divoire","queue"
"Set 130","tools::fuel-tracker","tools","A","176","tools/fuel-tracker/djibouti","/fr/tools/suivi-carburant/djibouti","queue"
"Set 130","tools::fuel-tracker","tools","A","177","tools/fuel-tracker/dr-congo","/fr/tools/suivi-carburant/dr-congo","queue"
"Set 130","tools::fuel-tracker","tools","A","178","tools/fuel-tracker/egypt","/fr/tools/suivi-carburant/egypt","queue"
"Set 130","tools::fuel-tracker","tools","A","179","tools/fuel-tracker/equatorial-guinea","/fr/tools/suivi-carburant/equatorial-guinea","queue"
"Set 130","tools::fuel-tracker","tools","A","180","tools/fuel-tracker/eritrea","/fr/tools/suivi-carburant/eritrea","queue"
"Set 130","tools::fuel-tracker","tools","A","181","tools/fuel-tracker/eswatini","/fr/tools/suivi-carburant/eswatini","queue"
"Set 130","tools::fuel-tracker","tools","A","182","tools/fuel-tracker/ethiopia","/fr/tools/suivi-carburant/ethiopia","queue"
"Set 130","tools::fuel-tracker","tools","A","183","tools/fuel-tracker/gabon","/fr/tools/suivi-carburant/gabon","queue"
"Set 130","tools::fuel-tracker","tools","A","184","tools/fuel-tracker/gambia","/fr/tools/suivi-carburant/gambia","queue"
"Set 130","tools::fuel-tracker","tools","A","185","tools/fuel-tracker/ghana","/fr/tools/suivi-carburant/ghana","queue"
"Set 130","tools::fuel-tracker","tools","A","186","tools/fuel-tracker/guinea","/fr/tools/suivi-carburant/guinea","queue"
"Set 130","tools::fuel-tracker","tools","A","187","tools/fuel-tracker/guinea-bissau","/fr/tools/suivi-carburant/guinea-bissau","queue"
"Set 130","tools::fuel-tracker","tools","A","188","tools/fuel-tracker/kenya","/fr/tools/suivi-carburant/kenya","queue"
"Set 130","tools::fuel-tracker","tools","A","189","tools/fuel-tracker/lesotho","/fr/tools/suivi-carburant/lesotho","queue"
"Set 130","tools::fuel-tracker","tools","A","190","tools/fuel-tracker/liberia","/fr/tools/suivi-carburant/liberia","queue"
"Set 130","tools::fuel-tracker","tools","A","191","tools/fuel-tracker/libya","/fr/tools/suivi-carburant/libya","queue"
"Set 130","tools::fuel-tracker","tools","A","192","tools/fuel-tracker/madagascar","/fr/tools/suivi-carburant/madagascar","queue"
"Set 130","tools::fuel-tracker","tools","A","193","tools/fuel-tracker/malawi","/fr/tools/suivi-carburant/malawi","queue"
"Set 130","tools::fuel-tracker","tools","A","194","tools/fuel-tracker/mali","/fr/tools/suivi-carburant/mali","queue"
"Set 130","tools::fuel-tracker","tools","A","195","tools/fuel-tracker/mauritania","/fr/tools/suivi-carburant/mauritania","queue"
"Set 130","tools::fuel-tracker","tools","A","196","tools/fuel-tracker/mauritius","/fr/tools/suivi-carburant/mauritius","queue"
"Set 130","tools::fuel-tracker","tools","A","197","tools/fuel-tracker/morocco","/fr/tools/suivi-carburant/morocco","queue"
"Set 130","tools::fuel-tracker","tools","A","198","tools/fuel-tracker/mozambique","/fr/tools/suivi-carburant/mozambique","queue"
"Set 130","tools::fuel-tracker","tools","A","199","tools/fuel-tracker/namibia","/fr/tools/suivi-carburant/namibia","queue"
"Set 130","tools::fuel-tracker","tools","A","200","tools/fuel-tracker/niger","/fr/tools/suivi-carburant/niger","queue"
"Set 130","tools::fuel-tracker","tools","A","201","tools/fuel-tracker/nigeria","/fr/tools/suivi-carburant/nigeria","queue"
"Set 130","tools::fuel-tracker","tools","A","202","tools/fuel-tracker/rwanda","/fr/tools/suivi-carburant/rwanda","queue"
"Set 130","tools::fuel-tracker","tools","A","203","tools/fuel-tracker/sao-tome-and-principe","/fr/tools/suivi-carburant/sao-tome-and-principe","queue"
"Set 130","tools::fuel-tracker","tools","A","204","tools/fuel-tracker/senegal","/fr/tools/suivi-carburant/senegal","queue"
"Set 130","tools::fuel-tracker","tools","A","205","tools/fuel-tracker/seychelles","/fr/tools/suivi-carburant/seychelles","queue"
"Set 130","tools::fuel-tracker","tools","A","206","tools/fuel-tracker/sierra-leone","/fr/tools/suivi-carburant/sierra-leone","queue"
"Set 130","tools::fuel-tracker","tools","A","207","tools/fuel-tracker/somalia","/fr/tools/suivi-carburant/somalia","queue"
"Set 130","tools::fuel-tracker","tools","A","208","tools/fuel-tracker/south-africa","/fr/tools/suivi-carburant/south-africa","queue"
"Set 130","tools::fuel-tracker","tools","A","209","tools/fuel-tracker/south-sudan","/fr/tools/suivi-carburant/south-sudan","queue"
"Set 130","tools::fuel-tracker","tools","A","210","tools/fuel-tracker/sudan","/fr/tools/suivi-carburant/sudan","queue"
"Set 130","tools::fuel-tracker","tools","A","211","tools/fuel-tracker/tanzania","/fr/tools/suivi-carburant/tanzania","queue"
"Set 130","tools::fuel-tracker","tools","A","212","tools/fuel-tracker/togo","/fr/tools/suivi-carburant/togo","queue"
"Set 130","tools::fuel-tracker","tools","A","213","tools/fuel-tracker/tunisia","/fr/tools/suivi-carburant/tunisia","queue"
